Store.Number,Whlsr..,Whlsr.Name,A.B.Region,FY.15.OOS.Rate,Total.Footage,Average.Deliveries.Per.Week,Average.Cases.Delivered.Per.Week,Delivery.Schedule,Average.Deliveries.Per.Month,cluster,Type of Segment
1932,31804,MAINE DISTRIBUTORS,1,0.04,72,2,505,TuFr,9,1,Prob
5883,94682,KING BEVERAGE,6,0.076,80,2,505,TuFr,9,1,Prob
5287,94262,SILVER EAGLE DIST LP - CYPRESS,5,0.05,72,2,498,TuFr,9,1,Prob
1631,74563,M PRICE DISTRIBUTING,1,0.033,72,2,497,TuFr,9,1,Prob
3380,4699,KING BEVERAGE,6,0.033,76,2,497,TuFr,9,1,Prob
5343,64597,J F FICK INC,1,0.041,72,3,497,WeFr,13,1,Prob
673,4109,BUD OF CLARKSVILLE,2,0.032,72,2,496,TuFr,9,1,Prob
699,52311,A&B DISTRIBUTING,2,0.054,76,2,496,WeFr,9,1,Prob
2325,84627,OLYMPIC EAGLE DISTRIBUTING,6,0.053,84,2,495,MoTh,8,1,Prob
1300,43231,R A JEFFREYS DISTRIBUTING,2,0.033,72,2,493,TuFr,10,1,Prob
542,71741,BUQUET DISTRIBUTING,5,0.031,84,2,492,TuTh,10,1,Prob
3702,70918,NORTH FLORIDA SALES,2,0.044,73,3,490,Sa,14,1,Prob
309,41732,SCHILLING DISTRIBUTING,5,0.045,73,2,489,Th,9,1,Prob
2727,10986,EAGLE BRANDS,2,0.081,73,2,489,TuFr,10,1,Prob
3371,33213,"ADAMS BEVERAGES OF NC, LLC ",2,0.043,76,2,489,MoTh,9,1,Prob
1976,23125,SENECA BEVERAGE,1,0.039,76,3,482,Fr,13,1,Prob
728,23912,SOUTHERN EAGLE OF SC,2,0.039,72,2,481,TuFr,9,1,Prob
463,54209,L & F DISTRIBUTING,5,0.039,72,2,480,TuFr,10,1,Prob
2595,84614,CROWN DISTRIBUTING,6,0.068,72,3,475,MoWeFr,13,1,Prob
3652,90489,MARKSTEIN BEV CO OF SACRAMENTO,7,0.035,73,2,474,TuFr,9,1,Prob
2116,13198,SARATOGA EAGLE SALES,1,0.044,84,3,473,WeFr,12,1,Prob
4538,94262,SILVER EAGLE DIST LP - CYPRESS,5,0.053,76,2,473,MoTh,10,1,Prob
1284,177,ADAMS BEVERAGES,2,0.055,72,2,469,TuFr,9,1,Prob
94,54153,BUD OF MEMPHIS,2,0.047,72,2,468,Tu,9,1,Prob
376,81774,EAGLE DIST OF SHREVEPORT,5,0.059,72,2,468,TuTh,9,1,Prob
660,10125,SHOALS DISTRIBUTING,2,0.053,72,2,468,MoFr,10,1,Prob
1212,20161,BUDWEISER-BUSCH DIST,2,0.043,72,2,467,MoTh,9,1,Prob
3014,64221,BEN E KEITH COMPANY,5,0.033,76,2,467,TuFr,9,1,Prob
5494,51140,WATKINS DIST SALES & SERVICE,6,0.031,76,2,466,TuFr,9,1,Prob
734,30134,ADAMS BEVERAGES,2,0.035,88,2,464,TuFr,9,1,Prob
4405,11209,SUPERIOR BEVERAGE,3,0.036,76,2,463,We,7,1,Prob
2387,40908,PEPIN DISTRIBUTING,2,0.076,72,3,458,MoFr,13,1,Prob
651,44207,DEL PAPA DISTRIBUTING,5,0.043,72,2,452,TuFr,9,1,Prob
4333,20162,BUDWEISER-BUSCH DIST,2,0.044,80,2,452,TuFr,9,1,Prob
1861,62220,COLLEGE CITY BEVERAGE,4,0.039,85,1,448,Mo,5,1,Prob
1798,62155,FABIANO BROTHERS,3,0.041,73,2,447,TuTh,11,1,Prob
3221,23125,SENECA BEVERAGE,1,0.034,80,2,445,TuFr,9,1,Prob
344,54294,DEL PAPA DISTRIBUTING,5,0.035,72,2,444,MoTh,9,1,Prob
2214,33916,K W ASSOCIATES,2,0.048,72,3,437,MoTh,12,1,Prob
533,41732,SCHILLING DISTRIBUTING,5,0.059,73,2,428,TuTh,9,1,Prob
935,71702,CHAMPAGNE BEVERAGE,5,0.04,93,2,426,MoTh,9,1,Prob
2766,10261,HENSLEY & CO PHOENIX,7,0.043,81,2,417,MoTh,9,1,Prob
5272,84627,OLYMPIC EAGLE DISTRIBUTING,6,0.044,76,2,417,TuFr,9,1,Prob
1158,10121,BIRMINGHAM BUD DISTRIBUTING,2,0.062,77,2,415,MoTh,9,1,Prob
3418,40908,PEPIN DISTRIBUTING CO,2,0.05,80,3,414,Mo,13,1,Prob
1241,71430,VANGUARD DISTRIBUTING,4,0.061,88,2,413,TuFr,9,1,Prob
2084,72551,CARDINAL DISTRIBUTING,6,0.031,72,5,411,None,21,1,Prob
331,51733,SOUTHWEST BEVERAGE,5,0.031,80,2,409,TuFr,9,1,Prob
5260,23559,A & B DISTRIBUTORS,5,0.036,76,3,409,Fr,12,1,Prob
932,91029,ATLANTA BEVERAGE CO - GRIFFIN,2,0.039,77,2,408,MoTh,9,1,Prob
