Store Number,A B Region,Store Type,FY 15 OOS Rate
718,2,Supercenter,12.00%
719,3,Supercenter,3.20%
720,3,Supercenter,4.70%
721,2,Supercenter,2.40%
722,2,Supercenter,4.80%
723,2,Supercenter,1.30%
724,2,Supercenter,4.10%
725,2,Supercenter,6.40%
726,2,Supercenter,5.70%
727,2,Supercenter,2.80%
728,2,Supercenter,3.90%
729,3,Supercenter,2.30%
730,2,Supercenter,0.70%
731,2,Supercenter,7.20%
733,2,Supercenter,2.50%
734,2,Supercenter,3.50%
735,2,Supercenter,3.30%
736,3,Supercenter,3.00%
737,2,Supercenter,2.50%
738,2,Supercenter,1.70%
740,2,Supercenter,3.50%
741,2,Supercenter,5.80%
742,2,Supercenter,3.40%
743,5,Supercenter,1.90%
744,5,Supercenter,5.80%
745,2,Supercenter,4.30%
746,5,Supercenter,4.90%
748,4,Supercenter,1.50%
750,4,Supercenter,1.30%
751,4,Supercenter,1.70%
752,5,Supercenter,3.80%
753,4,Supercenter,0.80%
754,2,Supercenter,1.80%
755,5,Supercenter,2.00%
756,2,Supercenter,5.80%
757,5,Supercenter,2.10%
758,2,Supercenter,7.90%
759,2,Supercenter,5.20%
761,5,Supercenter,4.70%
762,2,Supercenter,3.40%
763,2,Supercenter,3.90%
764,2,Supercenter,6.30%
765,5,Supercenter,3.20%
766,2,Supercenter,6.20%
767,2,Supercenter,2.40%
768,5,Supercenter,5.60%
769,2,Supercenter,2.00%
770,4,Supercenter,3.40%
771,2,Supercenter,3.40%
772,5,Supercenter,3.80%
773,5,Supercenter,1.50%
774,4,Supercenter,2.90%
775,3,Supercenter,0.60%
776,4,Supercenter,2.70%
777,5,Supercenter,4.80%
778,2,Supercenter,2.40%
779,2,Supercenter,5.40%
780,2,Supercenter,2.30%
781,5,Supercenter,1.50%
782,5,Supercenter,2.80%
784,4,Supercenter,1.10%
785,2,Supercenter,4.70%
786,3,Supercenter,1.50%
787,2,Supercenter,5.70%
789,5,Supercenter,2.70%
790,4,Supercenter,2.30%
791,5,Supercenter,3.60%
793,5,SUPERCENTER,
794,4,Supercenter,4.30%
795,2,Supercenter,1.60%
796,3,Supercenter,3.90%
797,4,Supercenter,1.90%
798,3,Supercenter,1.20%
799,4,Supercenter,5.00%
800,2,Supercenter,3.60%
801,4,Supercenter,2.00%
802,3,Supercenter,6.00%
803,5,Supercenter,5.90%
804,5,Supercenter,0.80%
805,4,Supercenter,2.70%
806,5,Supercenter,2.40%
807,5,Supercenter,4.40%
808,5,Supercenter,4.90%
809,2,Supercenter,5.80%
810,4,Supercenter,2.80%
811,2,Supercenter,3.20%
812,5,Supercenter,2.70%
813,5,Supercenter,2.60%
814,2,Supercenter,5.70%
815,4,Supercenter,1.50%
816,2,Supercenter,4.00%
817,2,Supercenter,2.90%
818,2,Supercenter,1.40%
819,2,Supercenter,4.20%
820,4,Supercenter,3.30%
821,5,Supercenter,2.40%
822,5,Supercenter,1.30%
823,5,Supercenter,1.90%
824,5,Supercenter,5.90%
826,5,Supercenter,3.20%
828,3,Supercenter,1.70%
834,4,Supercenter,1.70%
835,5,Supercenter,1.50%
836,2,Supercenter,3.90%
838,5,Supercenter,6.30%
839,5,Supercenter,4.20%
842,6,Supercenter,5.20%
843,2,Supercenter,5.50%
847,3,Supercenter,1.20%
848,2,Supercenter,7.00%
849,5,Supercenter,9.70%
850,5,Supercenter,1.90%
851,5,Supercenter,2.90%
852,3,Supercenter,4.80%
853,2,Supercenter,4.30%
854,3,Supercenter,2.70%
855,2,Supercenter,4.80%
856,2,Supercenter,3.90%
857,2,Supercenter,6.30%
858,2,Supercenter,2.70%
859,2,Supercenter,6.80%
860,2,Supercenter,5.30%
861,5,Supercenter,1.90%
862,2,Supercenter,2.40%
863,2,Supercenter,3.30%
864,2,Supercenter,1.90%
865,5,Supercenter,1.30%
866,2,Supercenter,7.70%
867,4,Supercenter,2.60%
868,5,Supercenter,1.60%
869,6,Supercenter,5.80%
870,3,Supercenter,2.80%
872,5,Supercenter,1.50%
874,2,Supercenter,2.70%
875,2,Supercenter,3.30%
876,5,Supercenter,3.20%
877,2,Supercenter,5.70%
878,2,Supercenter,4.40%
879,2,Supercenter,2.70%
880,5,Supercenter,2.70%
881,2,Supercenter,3.30%
882,3,Supercenter,1.70%
883,5,Supercenter,1.30%
884,3,Supercenter,1.60%
885,4,Supercenter,2.60%
886,4,Supercenter,1.90%
887,2,Supercenter,8.50%
888,4,Supercenter,3.40%
889,2,Supercenter,9.00%
890,2,Supercenter,3.40%
891,3,Supercenter,2.80%
892,4,Supercenter,1.80%
894,5,Supercenter,1.90%
896,5,Supercenter,2.20%
897,5,Supercenter,3.70%
899,2,Supercenter,2.00%
900,5,Supercenter,2.00%
901,5,Supercenter,1.10%
902,3,Supercenter,3.80%
903,2,Supercenter,9.10%
904,2,Supercenter,2.30%
905,6,Supercenter,8.40%
906,5,Supercenter,6.50%
907,2,Supercenter,4.50%
908,2,Supercenter,5.60%
909,5,Supercenter,4.80%
910,3,Supercenter,4.60%
911,5,Supercenter,3.80%
912,5,Supercenter,2.40%
913,4,Supercenter,1.60%
914,4,Supercenter,1.20%
915,5,Supercenter,3.70%
916,2,Supercenter,4.70%
917,5,Supercenter,1.70%
918,5,Supercenter,4.20%
919,2,Supercenter,2.10%
921,6,Supercenter,4.00%
922,3,Supercenter,2.20%
923,3,Supercenter,2.70%
924,6,Supercenter,4.90%
927,5,Supercenter,1.50%
929,2,Supercenter,4.60%
930,2,Supercenter,3.30%
931,2,Supercenter,5.00%
932,2,Supercenter,3.90%
933,3,Supercenter,3.70%
934,2,Supercenter,2.90%
935,5,Supercenter,4.00%
936,3,Supercenter,1.90%
937,2,Supercenter,1.50%
938,2,Supercenter,3.60%
939,5,Supercenter,2.00%
940,5,Supercenter,2.80%
942,2,Supercenter,2.60%
943,2,Supercenter,1.70%
944,2,Supercenter,1.40%
945,5,Supercenter,2.40%
947,5,Supercenter,2.10%
948,2,Supercenter,2.00%
949,5,Supercenter,5.40%
950,2,Supercenter,5.80%
953,6,Supercenter,5.80%
954,2,Supercenter,10.10%
955,2,Supercenter,2.10%
958,3,Supercenter,0.90%
959,2,Supercenter,1.50%
960,2,Supercenter,8.10%
961,5,Supercenter,5.90%
962,6,Supercenter,10.00%
963,5,Supercenter,0.80%
964,5,Supercenter,4.30%
965,3,Supercenter,2.10%
966,6,Supercenter,3.40%
967,2,Supercenter,2.70%
968,2,Supercenter,2.70%
969,2,Supercenter,1.50%
970,2,Supercenter,3.30%
971,3,Supercenter,2.10%
972,5,Supercenter,3.20%
973,2,Supercenter,3.00%
974,2,Supercenter,1.60%
975,5,Supercenter,2.60%
976,5,Supercenter,2.80%
978,4,Supercenter,5.10%
979,3,Supercenter,3.70%
980,6,Supercenter,4.80%
981,2,Supercenter,5.90%
982,4,Supercenter,6.70%
984,6,Supercenter,3.30%
985,4,Supercenter,2.20%
987,2,Supercenter,2.20%
988,2,Supercenter,3.30%
989,5,Supercenter,5.50%
990,2,Supercenter,3.20%
991,2,Supercenter,4.40%
992,5,Supercenter,3.50%
993,4,Supercenter,3.00%
994,2,Supercenter,1.80%
995,3,Supercenter,1.40%
999,5,Supercenter,3.30%
1000,5,Supercenter,2.30%
1001,6,Supercenter,2.60%
1002,3,Supercenter,3.30%
1003,3,Supercenter,1.80%
1004,2,Supercenter,1.20%
1005,4,Supercenter,1.50%
1006,2,Supercenter,2.60%
1007,3,Supercenter,0.70%
1008,6,Supercenter,6.60%
1009,4,Supercenter,3.50%
1010,2,Supercenter,2.60%
1011,2,Supercenter,4.70%
1012,3,Supercenter,1.40%
1014,4,Supercenter,6.90%
1015,5,Supercenter,3.00%
1016,5,Supercenter,2.20%
1017,2,Supercenter,1.50%
1018,2,Supercenter,3.70%
1019,6,Supercenter,4.90%
1021,4,Supercenter,1.20%
1022,5,Supercenter,2.70%
1023,1,Supercenter,2.50%
1024,2,Supercenter,4.30%
1025,2,Supercenter,3.90%
1026,3,Supercenter,2.00%
1027,2,Supercenter,6.00%
1028,3,Supercenter,5.20%
1029,2,Supercenter,2.80%
1030,2,Supercenter,1.70%
1032,2,Supercenter,2.20%
1033,3,Supercenter,2.10%
1034,2,Supercenter,2.60%
1035,2,Supercenter,6.10%
1036,2,Supercenter,1.90%
1037,2,Supercenter,4.40%
1038,4,Supercenter,3.00%
1039,2,Supercenter,3.10%
1040,5,Supercenter,2.50%
1041,5,Supercenter,3.10%
1042,5,Supercenter,2.40%
1043,5,Supercenter,6.40%
1044,5,Supercenter,2.00%
1045,6,Supercenter,5.10%
1047,2,Supercenter,7.20%
1052,2,Supercenter,3.70%
1053,3,Supercenter,8.00%
1054,4,Supercenter,3.40%
1055,5,Supercenter,2.60%
1056,5,Supercenter,5.50%
1058,6,Supercenter,1.00%
1059,2,Supercenter,1.40%
1061,2,Supercenter,5.60%
1062,5,Supercenter,3.40%
1064,2,Supercenter,1.60%
1066,2,Supercenter,1.60%
1068,2,Supercenter,2.20%
1069,2,Supercenter,2.70%
1070,2,Supercenter,3.20%
1071,3,Supercenter,2.40%
1072,2,Supercenter,2.90%
1073,5,Supercenter,2.40%
1074,2,Supercenter,1.40%
1075,2,Supercenter,2.90%
1076,2,Supercenter,4.00%
1077,2,Supercenter,5.40%
1079,2,Supercenter,3.20%
1080,2,Supercenter,2.60%
1082,2,Supercenter,9.10%
1083,2,Supercenter,4.00%
1085,2,Supercenter,4.20%
1086,2,Supercenter,4.10%
1087,2,Supercenter,3.00%
1088,2,Supercenter,1.50%
1089,2,Supercenter,2.30%
1090,2,Supercenter,2.20%
