Store Number,A B Region,Store Type,FY 15 OOS Rate
2469,6,Supercenter,8.00%
2471,3,Supercenter,3.30%
2472,2,Supercenter,6.20%
2474,3,Supercenter,1.80%
2475,2,Supercenter,4.30%
2476,6,Supercenter,5.30%
2477,6,Supercenter,3.00%
2479,7,Supercenter,6.10%
2482,7,Supercenter,1.40%
2484,2,Supercenter,4.30%
2485,6,Supercenter,3.20%
2491,3,Supercenter,1.20%
2492,6,Supercenter,3.10%
2494,7,Supercenter,7.00%
2496,2,Supercenter,2.40%
2504,1,Supercenter,6.10%
2505,5,Supercenter,3.40%
2506,3,Supercenter,1.90%
2508,6,Supercenter,1.70%
2509,3,Supercenter,2.60%
2510,3,Supercenter,1.20%
2511,6,Supercenter,6.80%
2512,7,Supercenter,2.70%
2513,2,Supercenter,5.60%
2515,7,Supercenter,1.30%
2517,7,Supercenter,3.50%
2520,1,Supercenter,3.90%
2522,3,Supercenter,2.60%
2526,7,Supercenter,4.80%
2529,1,Supercenter,3.20%
2532,3,Supercenter,2.50%
2533,2,Supercenter,1.30%
2534,2,Supercenter,3.70%
2537,7,Supercenter,4.10%
2539,6,Supercenter,3.20%
2541,3,Supercenter,4.00%
2542,3,Supercenter,3.90%
2544,3,Supercenter,3.40%
2545,3,Supercenter,2.50%
2547,1,Supercenter,4.50%
2549,6,Supercenter,1.50%
2550,6,Supercenter,4.50%
2552,6,Supercenter,5.90%
2554,7,Supercenter,1.90%
2559,3,Supercenter,6.90%
2562,4,Supercenter,5.60%
2563,3,Supercenter,2.60%
2564,1,Supercenter,2.70%
2565,1,Supercenter,3.00%
2566,3,Supercenter,2.10%
2576,3,Supercenter,4.50%
2580,2,Supercenter,3.50%
2581,1,Supercenter,2.80%
2584,2,Supercenter,8.00%
2591,2,Supercenter,6.70%
2592,7,Supercenter,4.00%
2593,7,Supercenter,2.10%
2595,6,Supercenter,6.80%
2596,6,Supercenter,4.70%
2599,5,Supercenter,3.00%
2600,4,Supercenter,1.60%
2605,3,Supercenter,3.20%
2606,2,Supercenter,2.40%
2608,6,Supercenter,2.30%
2609,7,Supercenter,7.10%
2610,3,Supercenter,3.30%
2612,5,Supercenter,3.30%
2613,3,Supercenter,6.50%
2615,2,Supercenter,1.90%
2616,4,Supercenter,0.70%
2617,7,Supercenter,3.80%
2618,3,Supercenter,6.30%
2619,3,Supercenter,7.20%
2620,3,Supercenter,5.20%
2626,2,Supercenter,3.50%
2627,2,Supercenter,6.60%
2628,3,Supercenter,3.00%
2630,2,Supercenter,3.30%
2631,3,Supercenter,4.70%
2634,1,Supercenter,2.20%
2637,1,Supercenter,5.40%
2643,4,Supercenter,5.10%
2644,3,Supercenter,3.90%
2645,1,Supercenter,6.90%
2646,1,Supercenter,3.40%
2647,1,Supercenter,0.80%
2649,5,Supercenter,2.10%
2652,5,Supercenter,3.70%
2653,5,Supercenter,1.80%
2656,5,Supercenter,2.70%
2658,3,Supercenter,1.10%
2662,1,Supercenter,4.40%
2665,5,Supercenter,2.40%
2667,5,Supercenter,2.20%
2668,3,Supercenter,4.10%
2671,7,Supercenter,2.70%
2672,6,Supercenter,8.90%
2678,3,Supercenter,5.80%
2679,3,Supercenter,3.20%
2680,3,Supercenter,3.10%
2684,3,Supercenter,7.20%
2687,2,Supercenter,5.50%
2688,5,Supercenter,4.40%
2690,2,Supercenter,3.80%
2691,3,Supercenter,2.50%
2692,3,Supercenter,4.20%
2693,3,Supercenter,2.20%
2694,4,Supercenter,5.90%
2695,2,Supercenter,1.80%
2696,3,Supercenter,2.60%
2700,3,Supercenter,6.60%
2702,4,Supercenter,2.20%
2703,2,Supercenter,2.60%
2704,2,Supercenter,2.10%
2705,1,Supercenter,4.30%
2706,5,Supercenter,3.20%
2708,7,Supercenter,2.40%
2712,2,Supercenter,3.90%
2713,2,Supercenter,2.50%
2714,4,Supercenter,1.30%
2715,2,Supercenter,1.70%
2716,4,Supercenter,4.00%
2717,2,Supercenter,2.60%
2720,2,Supercenter,5.10%
2722,6,Supercenter,2.30%
2723,2,Supercenter,4.90%
2724,5,Supercenter,3.90%
2725,3,Supercenter,3.60%
2726,3,Supercenter,4.30%
2727,2,Supercenter,8.10%
2728,3,Supercenter,3.10%
2729,6,Supercenter,4.50%
2730,2,Supercenter,4.40%
2732,2,Supercenter,4.50%
2733,2,Supercenter,3.40%
2734,5,Supercenter,2.30%
2735,7,Supercenter,9.10%
2739,2,Supercenter,2.80%
2740,2,Supercenter,4.30%
2748,2,Supercenter,3.60%
2749,2,Supercenter,2.30%
2751,6,Supercenter,5.80%
2752,6,Supercenter,7.10%
2753,2,Supercenter,6.60%
2754,2,Supercenter,4.50%
2755,2,Supercenter,3.20%
2757,2,SUPERCENTER,8.00%
2758,1,Supercenter,2.60%
2760,2,Supercenter,2.20%
2761,1,Supercenter,2.40%
2762,1,Supercenter,2.90%
2763,5,SUPERCENTER,
2764,4,Supercenter,1.60%
2765,5,SUPERCENTER,
2766,7,Supercenter,4.30%
2767,7,Supercenter,2.10%
2768,7,Supercenter,1.90%
2769,5,Supercenter,3.20%
2771,3,Supercenter,3.40%
2772,2,Supercenter,3.90%
2774,3,Supercenter,1.30%
2777,7,Supercenter,2.50%
2778,7,Supercenter,2.10%
2780,6,Supercenter,1.20%
2781,6,Supercenter,2.20%
2782,6,Supercenter,2.00%
2783,3,Supercenter,2.70%
2784,4,Supercenter,1.40%
2785,1,Supercenter,5.40%
2786,3,Supercenter,4.20%
2787,3,Supercenter,6.60%
2788,3,Supercenter,2.50%
2789,2,Supercenter,7.30%
2793,2,Supercenter,3.10%
2794,6,Supercenter,6.20%
2795,1,Supercenter,2.10%
2796,2,Supercenter,4.00%
2803,5,Supercenter,2.60%
2804,5,Supercenter,4.10%
2805,1,Supercenter,7.90%
2806,2,Supercenter,3.30%
2807,1,Supercenter,3.60%
2808,1,Supercenter,4.60%
2809,3,Supercenter,3.30%
2810,3,Supercenter,2.80%
2811,2,Supercenter,2.80%
2812,4,Supercenter,2.30%
2813,3,Supercenter,1.40%
2814,2,Supercenter,8.10%
2817,3,SUPERCENTER,
2818,3,SUPERCENTER,
2819,3,Supercenter,2.90%
2820,4,Supercenter,1.60%
2821,1,Supercenter,4.00%
2822,5,Supercenter,4.40%
2823,3,Supercenter,2.50%
2827,4,Supercenter,2.80%
2831,6,Supercenter,2.10%
2832,2,Supercenter,6.50%
2833,3,Supercenter,3.70%
2836,2,Supercenter,2.80%
2837,7,Supercenter,1.90%
2838,7,Supercenter,5.00%
2842,7,Supercenter,3.60%
2843,2,Supercenter,4.20%
2844,1,Supercenter,3.60%
2845,2,Supercenter,3.80%
2846,2,Supercenter,5.80%
2847,4,Supercenter,1.70%
2849,3,Supercenter,3.00%
2852,3,Supercenter,7.40%
2855,4,Supercenter,1.90%
2856,4,Supercenter,3.90%
2857,4,Supercenter,2.80%
2859,1,Supercenter,4.00%
2860,2,Supercenter,3.90%
2861,6,Supercenter,0.80%
2862,6,Supercenter,2.10%
2864,5,Supercenter,3.00%
2869,3,Supercenter,3.90%
2872,3,Supercenter,3.10%
2873,3,Supercenter,5.40%
2874,1,Supercenter,4.70%
2881,2,Supercenter,3.00%
2882,4,Supercenter,5.40%
2883,5,Supercenter,0.70%
2884,7,Supercenter,4.80%
2886,7,Supercenter,7.60%
2889,4,Supercenter,1.90%
2890,2,Supercenter,5.10%
2891,5,Supercenter,2.50%
2892,6,Supercenter,4.70%
2893,4,Supercenter,5.90%
2908,2,Supercenter,5.10%
2910,3,Supercenter,4.50%
2911,1,Supercenter,2.20%
2912,3,Supercenter,4.30%
2913,5,Supercenter,2.60%
2914,3,Supercenter,2.80%
2918,5,Supercenter,2.90%
2920,2,Supercenter,3.40%
2921,6,Supercenter,4.20%
2922,7,Supercenter,3.70%
2923,6,Supercenter,2.70%
2925,7,Supercenter,8.00%
2926,5,Supercenter,2.70%
2927,6,Supercenter,3.50%
2928,2,Supercenter,2.60%
2929,2,Supercenter,5.90%
2932,2,Supercenter,2.70%
2933,3,Supercenter,1.60%
2934,3,Supercenter,1.20%
2935,4,Supercenter,1.80%
2936,3,Supercenter,3.00%
2937,4,Supercenter,1.20%
2938,5,Supercenter,6.80%
2939,2,Supercenter,3.60%
2941,2,Supercenter,5.20%
2948,7,Supercenter,7.70%
2950,7,Supercenter,3.70%
2951,7,Supercenter,4.30%
2955,4,Supercenter,7.70%
2956,3,Supercenter,6.30%
2957,4,Supercenter,5.40%
2958,3,Supercenter,3.30%
2962,2,Supercenter,2.30%
2963,2,Supercenter,5.50%
2966,3,Supercenter,5.50%
2967,3,Supercenter,2.10%
2968,3,Supercenter,4.60%
2973,5,Supercenter,3.30%
2978,5,Supercenter,3.60%
2980,5,Supercenter,6.00%
2986,3,Supercenter,2.70%
2987,2,Supercenter,5.60%
2988,2,Supercenter,3.10%
2990,4,Supercenter,3.10%
2991,5,Supercenter,1.60%
2992,1,Supercenter,4.40%
2993,5,Supercenter,3.70%
2994,4,Supercenter,1.50%
2996,5,Supercenter,3.40%
3004,3,Supercenter,7.40%
3008,2,Supercenter,8.20%
3014,5,Supercenter,3.30%
3017,2,Supercenter,4.20%
3018,6,SUPERCENTER,
3044,5,Supercenter,8.80%
3053,6,SUPERCENTER,4.80%
3055,5,Supercenter,1.20%
3057,5,Supercenter,4.50%
3059,2,Supercenter,10.30%
3067,2,Supercenter,9.80%
3075,2,Supercenter,2.70%
3077,1,Supercenter,2.70%
3088,4,Supercenter,3.30%
3093,6,Supercenter,7.10%
3102,4,Supercenter,10.20%
3103,4,Supercenter,2.40%
3106,5,Supercenter,3.20%
3112,5,Supercenter,6.10%
3119,2,Supercenter,1.80%
3136,5,Supercenter,4.30%
3137,2,Supercenter,1.90%
3150,4,SUPERCENTER,
3151,4,Supercenter,2.60%
3167,5,SUPERCENTER,11.80%
3169,5,Supercenter,3.50%
3170,5,Supercenter,1.30%
3177,6,Supercenter,4.80%
3180,7,Supercenter,8.90%
3182,2,Supercenter,3.00%
3188,2,Supercenter,6.20%
3191,2,Supercenter,5.90%
3192,2,Supercenter,5.30%
3197,2,Supercenter,6.60%
3201,2,Supercenter,4.30%
3205,2,Supercenter,3.50%
3206,3,Supercenter,4.70%
3207,2,Supercenter,2.40%
3208,6,Supercenter,4.00%
3209,4,Supercenter,3.80%
3210,3,Supercenter,1.70%
3213,5,Supercenter,3.60%
3214,1,Supercenter,2.60%
3215,3,Supercenter,2.70%
3216,1,Supercenter,1.20%
3217,6,Supercenter,2.90%
3218,6,Supercenter,4.40%
3219,1,Supercenter,2.20%
3220,6,Supercenter,2.70%
3221,1,Supercenter,3.40%
3222,2,Supercenter,4.30%
3224,5,Supercenter,1.40%
3225,5,Supercenter,2.60%
3226,5,Supercenter,5.30%
3227,6,Supercenter,7.00%
3229,5,Supercenter,1.00%
3230,5,SUPERCENTER,
3232,6,Supercenter,2.10%
3233,4,Supercenter,2.70%
3234,2,Supercenter,2.10%
3235,2,Supercenter,6.40%
3237,4,Supercenter,3.20%
3239,6,Supercenter,2.10%
3241,7,Supercenter,3.70%
3243,1,Supercenter,3.20%
3245,3,Supercenter,1.30%
3248,7,Supercenter,8.30%
3250,3,Supercenter,3.00%
3251,3,Supercenter,3.10%
3254,7,Supercenter,4.10%
3255,3,Supercenter,2.50%
3258,6,Supercenter,2.30%
3259,6,Supercenter,2.10%
3260,6,Supercenter,3.60%
3261,6,Supercenter,2.80%
3262,3,Supercenter,5.50%
3265,1,Supercenter,1.80%
3267,4,Supercenter,2.30%
3268,3,Supercenter,1.30%
3269,1,Supercenter,2.10%
3270,1,Supercenter,0.80%
3271,2,Supercenter,2.10%
3273,4,Supercenter,2.60%
3274,5,Supercenter,2.60%
3277,7,Supercenter,2.70%
3278,4,Supercenter,4.50%
3279,5,Supercenter,1.20%
3280,1,Supercenter,4.20%
3282,3,SUPERCENTER,
3283,4,Supercenter,1.70%
3284,5,Supercenter,3.00%
3285,5,Supercenter,4.00%
3286,5,Supercenter,2.10%
3288,5,Supercenter,3.40%
3289,2,Supercenter,2.60%
3293,3,Supercenter,2.90%
3294,3,Supercenter,3.00%
3295,5,Supercenter,3.30%
3296,5,Supercenter,2.00%
3297,5,Supercenter,5.50%
3298,5,Supercenter,7.40%
3300,3,Supercenter,3.40%
3302,5,Supercenter,10.10%
3303,1,Supercenter,3.00%
3304,2,Supercenter,2.80%
3305,2,Supercenter,2.10%
3307,2,Supercenter,2.50%
3308,2,Supercenter,2.70%
3309,2,Supercenter,5.10%
3310,2,Supercenter,1.00%
3311,2,Supercenter,20.70%
3313,6,Supercenter,7.00%
3319,5,Supercenter,2.40%
3320,5,Supercenter,1.50%
3324,3,Supercenter,1.20%
3328,3,Supercenter,4.00%
3329,1,Supercenter,3.60%
3331,5,Supercenter,1.60%
3332,1,Supercenter,2.60%
3334,1,Supercenter,4.20%
3336,3,Supercenter,3.60%
3342,3,Supercenter,2.70%
3344,1,Supercenter,3.30%
3347,2,Supercenter,2.40%
3348,2,Supercenter,1.50%
3349,2,Supercenter,2.80%
3350,7,Supercenter,2.50%
3351,7,Supercenter,2.10%
3352,7,Supercenter,4.60%
3360,7,Supercenter,1.70%
3362,3,Supercenter,4.40%
3363,3,Supercenter,5.60%
3364,4,Supercenter,6.90%
3366,6,Supercenter,3.20%
3367,2,Supercenter,4.30%
3370,2,Supercenter,0.90%
3371,2,Supercenter,4.30%
3372,2,Supercenter,5.40%
3379,7,Supercenter,6.50%
3380,6,Supercenter,3.30%
3381,5,Supercenter,2.30%
3382,6,Supercenter,3.30%
3383,5,Supercenter,1.80%
3384,5,Supercenter,1.10%
3386,2,Supercenter,4.90%
3387,2,Supercenter,0.70%
3388,2,Supercenter,4.40%
3389,2,Supercenter,6.40%
3390,5,Supercenter,3.10%
3391,5,Supercenter,1.50%
3394,4,Supercenter,1.60%
3395,4,Supercenter,2.50%
3397,2,Supercenter,18.00%
3400,3,Supercenter,4.80%
3401,2,Supercenter,7.00%
3402,2,Supercenter,5.70%
3403,2,Supercenter,1.90%
3406,5,Supercenter,1.10%
3407,7,Supercenter,1.70%
3408,7,Supercenter,1.40%
3415,2,Supercenter,3.00%
3417,2,Supercenter,2.70%
3418,2,SUPERCENTER,5.00%
3423,5,Supercenter,5.20%
3425,5,Supercenter,2.60%
3427,5,Supercenter,2.10%
3428,5,Supercenter,3.60%
3430,5,Supercenter,3.90%
3431,5,Supercenter,0.70%
3432,5,Supercenter,3.30%
3433,5,Supercenter,3.30%
3434,3,Supercenter,2.30%
3435,3,Supercenter,4.60%
3436,3,Supercenter,7.20%
3439,2,Supercenter,1.30%
3445,3,Supercenter,4.80%
3447,3,Supercenter,4.70%
3453,3,Supercenter,5.10%
3454,6,Supercenter,5.00%
3459,3,Supercenter,1.40%
3460,3,Supercenter,5.70%
3461,2,Supercenter,6.20%
3462,2,Supercenter,6.60%
3463,2,Supercenter,5.30%
3464,7,Supercenter,4.00%
3465,7,Supercenter,2.70%
3471,2,Supercenter,2.10%
3472,6,Supercenter,1.50%
3473,7,Supercenter,2.60%
3474,2,Supercenter,1.70%
3476,3,Supercenter,4.50%
3477,7,Supercenter,5.70%
3480,1,Supercenter,1.00%
3482,5,Supercenter,4.60%
3483,5,Supercenter,2.50%
3484,2,Supercenter,2.00%
3485,2,Supercenter,5.30%
3486,3,Supercenter,3.30%
3487,3,Supercenter,6.60%
3488,3,Supercenter,1.90%
3492,4,Supercenter,1.80%
3495,2,Supercenter,1.70%
3497,3,Supercenter,1.90%
3499,3,Supercenter,1.00%
3500,5,Supercenter,2.40%
3502,3,Supercenter,2.40%
3503,2,Supercenter,1.20%
3505,3,Supercenter,2.30%
3510,5,Supercenter,2.00%
3511,6,Supercenter,2.10%
3513,4,Supercenter,4.00%
3515,3,Supercenter,1.60%
3516,7,Supercenter,3.00%
3518,5,Supercenter,2.60%
3522,7,Supercenter,7.00%
3523,7,Supercenter,5.10%
3525,6,Supercenter,4.20%
3526,2,Supercenter,2.90%
3527,2,Supercenter,4.60%
3528,2,Supercenter,4.80%
3529,3,Supercenter,5.20%
3531,6,Supercenter,3.30%
3533,6,Supercenter,5.10%
3534,4,Supercenter,3.80%
3535,1,Supercenter,2.90%
3537,6,Supercenter,2.70%
3538,2,Supercenter,5.60%
3566,6,Supercenter,7.60%
3567,5,Supercenter,2.50%
3568,6,Supercenter,1.30%
3569,5,Supercenter,4.50%
3570,2,Supercenter,4.80%
3571,3,Supercenter,4.30%
3572,5,Supercenter,3.20%
3573,1,Supercenter,3.00%
3580,3,Supercenter,3.90%
3581,3,Supercenter,3.60%
3582,6,Supercenter,4.00%
3583,1,Supercenter,3.10%
3588,1,Supercenter,2.20%
3589,6,Supercenter,1.40%
3590,4,Supercenter,1.50%
3591,5,Supercenter,3.10%
3595,2,Supercenter,3.10%
3596,5,Supercenter,1.70%
3597,3,Supercenter,6.10%
3601,3,Supercenter,6.60%
3602,3,Supercenter,2.00%
3607,1,Supercenter,2.20%
3608,3,Supercenter,2.20%
3609,2,Supercenter,6.50%
3610,3,Supercenter,3.10%
3612,2,Supercenter,2.70%
3616,5,Supercenter,4.20%
3620,6,Supercenter,1.30%
3621,2,Supercenter,5.20%
3623,5,Supercenter,2.40%
3624,4,Supercenter,4.70%
3625,2,Supercenter,1.80%
3626,2,Supercenter,3.90%
3627,2,Supercenter,6.20%
3630,4,Supercenter,2.00%
3631,5,Supercenter,3.90%
3632,3,Supercenter,1.10%
3639,1,SUPERCENTER,
3640,5,Supercenter,3.20%
3641,3,Supercenter,4.00%
3643,3,Supercenter,1.40%
3644,1,Supercenter,2.80%
3645,5,Supercenter,2.50%
3648,4,Supercenter,1.50%
3652,7,Supercenter,3.50%
3656,3,Supercenter,2.30%
3658,2,Supercenter,4.50%
3659,2,Supercenter,4.60%
3660,2,Supercenter,2.90%
3700,2,Supercenter,2.60%
3701,2,Supercenter,3.50%
3702,2,Supercenter,4.40%
3705,6,Supercenter,2.60%
3708,7,SUPERCENTER,
3709,2,Supercenter,7.20%
3712,7,Supercenter,2.40%
3717,2,Supercenter,3.00%
3722,3,Supercenter,5.70%
3725,3,Supercenter,8.30%
3726,3,Supercenter,4.00%
3728,7,Supercenter,3.00%
3729,7,Supercenter,3.30%
3730,7,Supercenter,3.60%
3731,5,Supercenter,3.60%
3732,5,Supercenter,2.30%
3733,2,Supercenter,2.00%
3734,4,Supercenter,1.30%
3739,6,Supercenter,2.40%
3741,2,Supercenter,7.60%
3742,6,Supercenter,6.00%
3747,3,Supercenter,2.00%
3748,2,Supercenter,1.50%
3749,3,Supercenter,3.50%
3750,2,Supercenter,4.30%
3751,7,Supercenter,2.60%
3754,6,Supercenter,3.30%
3757,6,Supercenter,7.00%
3758,4,Supercenter,2.40%
3760,4,Supercenter,3.10%
3761,4,Supercenter,2.00%
3762,4,Supercenter,2.10%
3763,5,Supercenter,3.50%
3764,5,SUPERCENTER,
3765,3,Supercenter,6.20%
3768,1,Supercenter,2.10%
3770,1,Supercenter,1.50%
3771,7,Supercenter,2.50%
3772,1,Supercenter,4.70%
3773,5,Supercenter,1.20%
3775,2,Supercenter,2.70%
3777,5,Supercenter,2.50%
3778,6,Supercenter,2.60%
3781,3,Supercenter,3.70%
3782,2,Supercenter,1.60%
3783,3,Supercenter,5.40%
3784,3,Supercenter,4.00%
3785,2,Supercenter,2.40%
3786,2,Supercenter,4.20%
3789,6,Supercenter,3.30%
3790,3,Supercenter,2.50%
3791,3,Supercenter,4.80%
3792,3,Supercenter,8.50%
3794,6,Supercenter,5.50%
3796,7,Supercenter,5.50%
3799,7,Supercenter,1.70%
3801,6,Supercenter,6.00%
3805,6,Supercenter,5.50%
3806,4,Supercenter,2.30%
3807,7,Supercenter,5.40%
3809,3,Supercenter,2.10%
3811,3,Supercenter,3.60%
3812,3,Supercenter,4.20%
3814,6,Supercenter,5.90%
3823,4,Supercenter,2.50%
3824,6,Supercenter,4.50%
3825,2,Supercenter,2.90%
3826,5,Supercenter,2.00%
3827,5,Supercenter,4.80%
3828,5,Supercenter,3.20%
3829,2,Supercenter,3.80%
3831,1,Supercenter,1.90%
3833,7,Supercenter,1.20%
3835,2,Supercenter,2.10%
3837,3,Supercenter,3.70%
3840,3,Supercenter,5.80%
3842,1,Supercenter,2.40%
3847,7,Supercenter,1.40%
3848,6,Supercenter,3.80%
3850,6,Supercenter,2.40%
3851,3,Supercenter,4.80%
3852,2,Supercenter,3.30%
3853,4,Supercenter,1.00%
3857,3,Supercenter,0.90%
3858,2,SUPERCENTER,7.00%
3860,3,Supercenter,5.90%
3861,7,Supercenter,1.80%
3864,2,Supercenter,2.60%
3867,6,Supercenter,13.60%
3868,5,Supercenter,1.90%
3869,1,Supercenter,5.10%
3872,4,Supercenter,1.70%
3874,2,Supercenter,6.30%
3876,3,Supercenter,3.00%
3877,2,Supercenter,3.20%
3884,7,SUPERCENTER,7.10%
3886,5,Supercenter,3.20%
3887,2,Supercenter,1.30%
3888,5,Supercenter,1.40%
3889,2,Supercenter,3.90%
3891,3,Supercenter,2.80%
3893,3,Supercenter,4.70%
3894,3,Supercenter,1.80%
3896,7,Supercenter,3.50%
3897,6,Supercenter,5.60%
4064,1,SUPERCENTER,2.60%
4065,2,SUPERCENTER,
4068,6,SUPERCENTER,
4103,5,SUPERCENTER,5.90%
4108,5,SUPERCENTER,1.90%
4112,5,SUPERCENTER,
4118,3,SUPERCENTER,
4129,5,Supercenter,5.10%
4130,5,SUPERCENTER,
4131,5,Supercenter,5.20%
4137,6,Supercenter,7.40%
4144,2,Supercenter,5.70%
4161,2,SUPERCENTER,8.90%
4162,5,SUPERCENTER,6.30%
4163,5,Supercenter,2.00%
4164,5,Supercenter,3.00%
4165,5,SUPERCENTER,5.60%
4166,2,Supercenter,2.40%
4171,7,Supercenter,5.00%
4176,6,SUPERCENTER,7.00%
4183,5,Supercenter,3.60%
4185,2,Supercenter,4.10%
4187,2,Supercenter,5.60%
4191,1,Supercenter,5.60%
4194,5,Supercenter,4.90%
4195,5,Supercenter,5.30%
4200,2,Supercenter,1.90%
4201,5,Supercenter,1.40%
4202,7,SUPERCENTER,5.70%
4208,6,Supercenter,4.50%
4209,4,Supercenter,2.80%
4215,5,Supercenter,1.50%
4216,3,Supercenter,3.10%
4219,5,Supercenter,3.20%
4221,6,Supercenter,8.20%
4223,2,Supercenter,2.30%
4224,2,Supercenter,1.90%
4226,2,Supercenter,2.20%
4230,3,Supercenter,2.50%
4231,3,Supercenter,1.50%
4232,7,Supercenter,3.60%
4235,3,Supercenter,2.10%
4237,2,Supercenter,4.40%
4238,7,Supercenter,6.50%
4239,7,Supercenter,4.70%
4240,5,Supercenter,2.00%
4241,5,Supercenter,4.80%
4243,3,Supercenter,4.60%
4244,4,Supercenter,2.70%
4246,4,Supercenter,5.70%
4247,6,Supercenter,3.80%
4249,6,Supercenter,0.40%
4250,2,Supercenter,5.50%
4252,7,Supercenter,2.70%
4253,4,Supercenter,2.00%
4255,3,Supercenter,7.00%
4256,4,Supercenter,2.90%
4257,4,Supercenter,1.60%
4258,1,Supercenter,2.30%
4259,3,Supercenter,2.30%
4260,2,Supercenter,1.80%
4262,2,Supercenter,3.50%
4272,6,Supercenter,4.90%
4273,2,Supercenter,3.10%
4274,2,Supercenter,1.90%
4277,3,Supercenter,3.80%
4278,3,Supercenter,4.60%
4279,5,Supercenter,2.70%
4281,3,Supercenter,1.70%
4283,2,Supercenter,2.70%
4284,6,Supercenter,5.30%
4285,3,Supercenter,5.20%
4286,3,Supercenter,4.50%
4288,6,Supercenter,5.00%
4295,5,Supercenter,1.70%
4298,5,Supercenter,5.40%
4299,5,Supercenter,1.70%
4303,2,SUPERCENTER,10.10%
4309,7,Supercenter,6.20%
4318,2,Supercenter,3.80%
4321,4,Supercenter,3.20%
4322,4,Supercenter,3.00%
4323,3,Supercenter,3.80%
4325,7,Supercenter,2.40%
4330,2,Supercenter,2.80%
4332,2,Supercenter,5.00%
4333,2,Supercenter,4.40%
4334,2,Supercenter,3.00%
4335,6,Supercenter,8.30%
4336,7,Supercenter,1.90%
4337,7,Supercenter,3.20%
4340,7,Supercenter,3.80%
4341,5,Supercenter,2.60%
4342,3,Supercenter,3.60%
4350,1,Supercenter,3.70%
4356,7,Supercenter,6.10%
4358,4,Supercenter,1.60%
4359,6,Supercenter,7.70%
4368,2,Supercenter,6.80%
4369,2,Supercenter,2.20%
4370,7,Supercenter,1.50%
4372,3,Supercenter,2.50%
4374,4,Supercenter,3.20%
4377,6,Supercenter,8.60%
4378,1,Supercenter,4.50%
4379,2,Supercenter,2.40%
4381,4,Supercenter,2.20%
4383,3,Supercenter,5.70%
4384,2,Supercenter,2.70%
4389,1,Supercenter,1.90%
4392,7,Supercenter,4.20%
4393,7,SUPERCENTER,
4394,6,Supercenter,7.90%
4395,6,Supercenter,2.60%
4399,3,Supercenter,2.70%
4403,1,Supercenter,5.10%
4405,3,Supercenter,3.60%
4407,2,Supercenter,2.40%
4409,2,Supercenter,3.40%
4410,2,Supercenter,1.80%
4412,6,Supercenter,3.70%
4414,2,Supercenter,3.40%
4416,5,Supercenter,3.30%
4417,3,Supercenter,1.70%
4420,2,Supercenter,3.00%
4423,3,Supercenter,2.50%
4424,3,Supercenter,2.70%
4427,2,Supercenter,4.50%
4428,2,Supercenter,11.10%
4430,7,Supercenter,2.00%
4435,2,Supercenter,3.30%
4436,2,Supercenter,2.20%
4438,6,Supercenter,8.20%
4439,3,Supercenter,4.40%
4440,2,Supercenter,2.90%
4444,2,Supercenter,1.90%
4446,2,Supercenter,5.10%
4450,3,Supercenter,3.10%
4451,7,Supercenter,1.30%
4457,2,Supercenter,3.50%
4458,2,Supercenter,3.00%
4459,2,Supercenter,4.70%
4460,5,Supercenter,3.10%
4472,2,Supercenter,7.10%
4474,6,Supercenter,4.80%
4475,4,Supercenter,3.20%
4476,1,Supercenter,3.00%
4477,2,Supercenter,2.50%
4479,3,Supercenter,4.60%
4482,2,Supercenter,3.70%
4483,2,Supercenter,3.90%
4484,2,Supercenter,2.60%
4487,2,Supercenter,1.70%
4488,7,Supercenter,8.10%
4497,2,Supercenter,10.40%
4499,2,Supercenter,1.60%
4506,2,Supercenter,4.70%
4508,5,Supercenter,1.80%
4509,5,Supercenter,5.00%
4511,3,Supercenter,1.50%
4514,1,Supercenter,2.10%
4520,2,Supercenter,6.10%
4521,2,Supercenter,2.80%
4526,5,Supercenter,7.40%
4529,3,Supercenter,3.90%
4531,3,Supercenter,12.90%
4533,2,Supercenter,3.50%
4538,5,Supercenter,5.30%
4540,3,Supercenter,3.90%
4543,7,Supercenter,1.50%
4553,4,Supercenter,6.30%
4554,5,Supercenter,3.70%
4556,2,Supercenter,4.00%
4557,7,Supercenter,3.70%
4558,2,Supercenter,5.80%
4564,2,Supercenter,3.30%
4567,6,Supercenter,8.50%
4568,4,Supercenter,2.10%
4570,1,Supercenter,8.20%
4574,2,Supercenter,1.80%
4581,2,Supercenter,3.90%
4583,2,Supercenter,3.00%
4584,3,Supercenter,3.30%
4588,2,Supercenter,3.30%
4593,2,Supercenter,4.20%
4594,2,Supercenter,1.70%
4597,1,Supercenter,2.20%
4599,6,Supercenter,4.10%
4600,4,Supercenter,3.80%
4601,5,Supercenter,3.10%
4606,4,Supercenter,3.40%
4609,3,Supercenter,2.10%
4611,4,Supercenter,5.40%
4615,5,Supercenter,4.90%
4616,2,Supercenter,5.50%
4623,1,Supercenter,4.00%
4627,5,Supercenter,3.40%
4631,3,Supercenter,4.90%
4635,2,Supercenter,3.00%
4636,1,Supercenter,3.20%
4637,5,Supercenter,3.40%
4638,1,Supercenter,3.10%
4639,6,Supercenter,5.20%
4641,3,Supercenter,1.90%
4660,3,Supercenter,3.70%
4664,2,Supercenter,4.00%
4677,3,Supercenter,3.90%
4678,6,Supercenter,4.40%
