Store Number,Average Deliveries Per Week,Average Deliveries Per Month,FY 15 OOS Rate,Average Cases Delivered Per Week,Store Type,Total Footage,A-B Region,Delivery Schedule
810,3,11,2.80%,815,BASE STR SUPERCENTER,65,2,TuTh
811,4,18,3.22%,667,BASE STR SUPERCENTER,24,4,Sa
812,2,9,2.66%,240,BASE STR SUPERCENTER,60,2,TuFr
813,3,11,2.60%,533,BASE STR SUPERCENTER,72,5,TuTh
814,3,13,5.67%,957,BASE STR SUPERCENTER,47,5,Sa
815,2,9,1.53%,698,BASE STR SUPERCENTER,60,2,Th
816,2,9,3.95%,354,BASE STR SUPERCENTER,40,4,TuFr
817,3,13,2.89%,803,BASE STR SUPERCENTER,197,2,TuSa
818,5,21,1.40%,2784,BASE STR SUPERCENTER,241,2,MoWeFr
819,3,13,4.16%,912,BASE STR SUPERCENTER,40,2,Fr
820,2,9,3.35%,487,BASE STR SUPERCENTER,44,2,TuFr
821,2,9,2.35%,1141,BASE STR SUPERCENTER,68,4,Fr
822,3,11,1.32%,539,BASE STR SUPERCENTER,72,5,TuFr
823,2,9,1.94%,524,BASE STR SUPERCENTER,32,5,MoTh
824,2,9,5.92%,287,BASE STR SUPERCENTER,48,5,TuFr
826,2,10,3.21%,511,BASE STR SUPERCENTER,41,5,TuFr
828,2,9,1.69%,378,BASE STR SUPERCENTER,64,5,MoFr
834,1,5,1.71%,331,BASE STR SUPERCENTER,24,3,Th
835,2,10,1.50%,485,BASE STR SUPERCENTER,41,4,MoTh
836,2,9,3.89%,404,BASE STR SUPERCENTER,41,5,TuFr
838,2,9,6.29%,440,BASE STR SUPERCENTER,40,2,MoFr
839,2,9,4.20%,262,BASE STR SUPERCENTER,44,5,MoTh
842,2,8,5.16%,112,BASE STR SUPERCENTER,28,4,MoTh
843,2,9,5.53%,174,BASE STR SUPERCENTER,32,6,MoFr
846,2,11,3.01%,443,BASE STR SUPERCENTER,60,4,MoTh
847,2,9,1.24%,292,BASE STR SUPERCENTER,28,5,Fr
848,2,9,6.98%,245,BASE STR SUPERCENTER,36,3,TuFr
849,2,9,9.69%,508,BASE STR SUPERCENTER,61,2,TuFr
850,2,10,1.90%,659,BASE STR SUPERCENTER,72,5,MoTh
851,2,9,2.89%,695,BASE STR SUPERCENTER,48,5,TuFr
852,2,10,4.77%,457,BASE STR SUPERCENTER,40,5,MoFr
853,2,9,4.28%,286,BASE STR SUPERCENTER,40,3,MoTh
854,2,8,2.68%,266,BASE STR SUPERCENTER,28,2,MoTh
855,2,9,4.82%,156,BASE STR SUPERCENTER,40,3,MoTh
856,2,9,3.90%,385,BASE STR SUPERCENTER,60,2,MoTh
857,2,9,6.32%,511,BASE STR SUPERCENTER,41,2,TuFr
858,2,9,2.72%,286,BASE STR SUPERCENTER,24,2,TuFr
859,4,18,6.81%,904,BASE STR SUPERCENTER,49,2,Sa
860,3,14,5.35%,694,BASE STR SUPERCENTER,56,2,Sa
861,2,10,1.88%,561,BASE STR SUPERCENTER,72,2,TuFr
862,2,9,2.42%,414,BASE STR SUPERCENTER,53,5,TuFr
863,2,9,3.34%,349,BASE STR SUPERCENTER,36,2,TuFr
864,2,9,1.90%,366,BASE STR SUPERCENTER,41,2,Mo
865,2,9,1.32%,864,BASE STR SUPERCENTER,72,2,TuFr
866,3,12,7.67%,637,BASE STR SUPERCENTER,60,5,Fr
867,2,9,2.64%,592,BASE STR SUPERCENTER,65,2,TuTh
868,2,9,1.60%,741,BASE STR SUPERCENTER,61,4,TuFr
869,2,8,5.80%,43,BASE STR SUPERCENTER,24,5,Th
870,3,12,2.84%,961,BASE STR SUPERCENTER,56,6,MoFr
872,2,10,1.46%,488,BASE STR SUPERCENTER,76,4,MoTh
874,2,9,2.73%,427,BASE STR SUPERCENTER,40,5,TuFr
875,2,8,3.28%,166,BASE STR SUPERCENTER,69,2,TuFr
876,2,9,3.15%,224,BASE STR SUPERCENTER,36,2,MoTh
877,2,9,5.70%,542,BASE STR SUPERCENTER,81,5,Tu
878,2,9,4.37%,309,BASE STR SUPERCENTER,72,2,TuFr
879,2,9,2.74%,228,BASE STR SUPERCENTER,24,2,MoTh
880,2,9,2.70%,544,BASE STR SUPERCENTER,88,2,WeFr
881,2,9,3.26%,682,BASE STR SUPERCENTER,56,5,TuFr
882,3,13,1.68%,487,BASE STR SUPERCENTER,69,2,Fr
883,2,9,1.28%,334,BASE STR SUPERCENTER,24,3,TuFr
884,2,9,1.57%,460,BASE STR SUPERCENTER,52,5,MoFr
885,2,9,2.62%,455,BASE STR SUPERCENTER,24,3,TuFr
886,3,12,1.87%,603,BASE STR SUPERCENTER,76,4,Fr
887,2,9,8.52%,195,BASE STR SUPERCENTER,24,4,MoTh
888,2,9,3.36%,231,BASE STR SUPERCENTER,60,2,Mo
889,3,13,8.96%,381,BASE STR SUPERCENTER,32,4,Fr
890,2,9,3.44%,522,BASE STR SUPERCENTER,61,2,TuFr
891,2,9,2.78%,619,BASE STR SUPERCENTER,60,2,TuFr
892,3,12,1.80%,655,BASE STR SUPERCENTER,61,3,WeFr
894,2,9,2.77%,347,BASE STR SUPERCENTER,40,5,TuFr
896,2,9,3.75%,497,BASE STR SUPERCENTER,61,5,TuFr
897,2,9,7.41%,306,BASE STR SUPERCENTER,51,5,TuFr
899,2,9,2.05%,432,BASE STR SUPERCENTER,56,2,TuFr
900,1,5,1.07%,376,BASE STR SUPERCENTER,60,5,Th
901,2,9,3.78%,864,BASE STR SUPERCENTER,60,5,TuFr
902,2,10,9.11%,556,BASE STR SUPERCENTER,52,3,MoFr
903,2,9,2.30%,204,BASE STR SUPERCENTER,40,2,Mo
904,3,15,8.43%,734,BASE STR SUPERCENTER,64,2,TuWeFr
905,1,4,6.53%,91,BASE STR SUPERCENTER,24,6,Mo
906,2,9,4.48%,1262,BASE STR SUPERCENTER,49,5,MoFr
907,2,9,5.59%,345,BASE STR SUPERCENTER,28,2,MoTh
908,3,13,4.79%,385,BASE STR SUPERCENTER,61,2,TuSa
909,2,9,4.59%,458,BASE STR SUPERCENTER,40,5,TuFr
910,3,13,3.76%,351,BASE STR SUPERCENTER,97,3,Fr
911,2,10,2.43%,527,BASE STR SUPERCENTER,60,5,TuFr
912,2,10,1.59%,403,BASE STR SUPERCENTER,72,5,TuFr
913,2,9,1.16%,615,BASE STR SUPERCENTER,61,4,TuFr
914,2,9,3.75%,269,BASE STR SUPERCENTER,48,4,TuFr
915,2,9,4.68%,494,BASE STR SUPERCENTER,58,5,TuFr
916,3,13,1.73%,348,BASE STR SUPERCENTER,60,2,MoFr
917,2,9,4.15%,255,BASE STR SUPERCENTER,56,5,TuFr
918,2,10,2.13%,694,BASE STR SUPERCENTER,68,5,TuFr
