Store Number,Average Deliveries Per Week,Average Deliveries Per Month,FY 15 OOS Rate,Average Cases Delivered Per Week,Store Type,Total Footage,A-B Region,Delivery Schedule
250,2,9,1.95%,758,BASE STR SUPERCENTER,48,4,TuFr
251,2,9,2.02%,883,BASE STR SUPERCENTER,56,5,TuFr
252,2,9,4.93%,275,BASE STR SUPERCENTER,24,3,MoFr
253,1,5,2.66%,417,BASE STR SUPERCENTER,56,3,Th
256,2,9,2.27%,624,BASE STR SUPERCENTER,60,3,TuFr
257,2,10,4.33%,251,BASE STR SUPERCENTER,36,3,MoTh
258,2,9,5.03%,313,BASE STR SUPERCENTER,56,2,MoTh
259,2,9,1.78%,572,BASE STR SUPERCENTER,40,5,Th
260,2,9,4.86%,676,BASE STR SUPERCENTER,72,5,TuFr
261,3,14,1.88%,573,BASE STR SUPERCENTER,45,5,Fr
262,2,9,6.05%,331,BASE STR SUPERCENTER,55,3,MoTh
264,2,9,2.34%,416,BASE STR SUPERCENTER,56,2,MoTh
265,2,9,1.84%,831,BASE STR SUPERCENTER,56,5,TuTh
266,2,9,2.37%,366,BASE STR SUPERCENTER,61,5,Tu
267,2,9,2.67%,274,BASE STR SUPERCENTER,24,4,TuFr
268,2,9,1.65%,340,BASE STR SUPERCENTER,77,2,TuFr
269,2,9,6.79%,400,BASE STR SUPERCENTER,40,5,TuFr
271,2,9,1.18%,354,BASE STR SUPERCENTER,24,5,TuFr
272,2,9,5.17%,241,BASE STR SUPERCENTER,61,2,MoTh
275,3,13,2.33%,839,BASE STR SUPERCENTER,56,5,MoWeFr
276,2,9,2.17%,206,BASE STR SUPERCENTER,24,5,TuFr
277,2,9,2.84%,506,BASE STR SUPERCENTER,40,5,MoTh
278,2,9,3.73%,347,BASE STR SUPERCENTER,52,5,TuFr
280,2,9,3.78%,295,BASE STR SUPERCENTER,28,5,Fr
282,2,9,3.97%,379,BASE STR SUPERCENTER,48,3,TuFr
284,2,9,2.28%,546,BASE STR SUPERCENTER,72,5,TuFr
285,3,13,2.71%,979,BASE STR SUPERCENTER,60,5,Fr
286,2,9,3.49%,667,BASE STR SUPERCENTER,69,5,TuFr
287,3,13,5.56%,596,BASE STR SUPERCENTER,56,2,WeFr
288,2,9,2.21%,533,BASE STR SUPERCENTER,77,5,Tu
290,2,9,2.00%,443,BASE STR SUPERCENTER,63,5,TuFr
292,2,9,2.06%,265,BASE STR SUPERCENTER,72,5,Mo
294,2,9,3.28%,265,BASE STR SUPERCENTER,28,3,TuFr
295,3,11,3.49%,626,BASE STR SUPERCENTER,48,4,Fr
297,2,9,12.16%,823,BASE STR SUPERCENTER,61,5,TuFr
298,2,9,2.94%,521,BASE STR SUPERCENTER,69,2,TuFr
299,4,17,2.27%,415,BASE STR SUPERCENTER,64,3,MoTuThFr
300,2,9,5.33%,264,BASE STR SUPERCENTER,64,2,TuFr
301,3,12,9.36%,436,BASE STR SUPERCENTER,40,2,Fr
302,2,9,2.45%,336,BASE STR SUPERCENTER,24,3,TuFr
303,2,9,3.96%,214,BASE STR SUPERCENTER,24,2,TuFr
304,2,9,1.81%,323,BASE STR SUPERCENTER,41,2,MoTh
305,2,9,2.56%,243,BASE STR SUPERCENTER,24,2,TuFr
306,2,9,3.87%,593,BASE STR SUPERCENTER,40,2,TuFr
307,2,9,3.53%,343,BASE STR SUPERCENTER,56,5,TuFr
308,2,9,3.02%,313,BASE STR SUPERCENTER,24,2,TuFr
309,2,9,4.53%,489,BASE STR SUPERCENTER,73,5,Th
310,2,9,2.56%,522,BASE STR SUPERCENTER,72,5,Th
312,2,9,2.69%,305,BASE STR SUPERCENTER,44,5,MoFr
313,2,10,2.25%,656,BASE STR SUPERCENTER,56,4,Tu
314,2,9,1.73%,268,BASE STR SUPERCENTER,56,2,TuFr
315,2,8,4.76%,199,BASE STR SUPERCENTER,16,2,MoTh
316,2,10,4.26%,366,BASE STR SUPERCENTER,24,2,MoTh
318,2,10,1.53%,531,BASE STR SUPERCENTER,48,5,TuFr
319,2,10,6.82%,433,BASE STR SUPERCENTER,61,4,MoTh
321,3,13,1.40%,647,BASE STR SUPERCENTER,48,5,MoFr
322,2,10,4.36%,463,BASE STR SUPERCENTER,56,5,TuFr
324,2,9,2.53%,312,BASE STR SUPERCENTER,24,5,MoTh
325,2,9,3.05%,477,BASE STR SUPERCENTER,60,4,TuFr
328,2,9,2.89%,600,BASE STR SUPERCENTER,48,3,TuTh
329,2,9,5.83%,328,BASE STR SUPERCENTER,40,2,TuFr
330,2,10,3.87%,460,BASE STR SUPERCENTER,64,5,TuFr
331,2,9,3.15%,409,BASE STR SUPERCENTER,80,5,TuFr
332,2,9,3.58%,307,BASE STR SUPERCENTER,40,2,TuFr
334,1,4,1.15%,377,BASE STR SUPERCENTER,24,3,We
335,3,14,2.86%,366,BASE STR SUPERCENTER,64,2,TuThFr
337,2,9,3.60%,215,BASE STR SUPERCENTER,24,4,MoTh
338,2,9,3.78%,174,BASE STR SUPERCENTER,32,4,TuFr
340,4,16,2.73%,516,BASE STR SUPERCENTER,24,5,Tu
341,2,9,3.28%,156,BASE STR SUPERCENTER,20,4,TuTh
342,1,5,2.02%,78,BASE STR SUPERCENTER,24,4,We
343,2,9,1.47%,439,BASE STR SUPERCENTER,24,3,Th
344,2,9,3.51%,444,BASE STR SUPERCENTER,72,5,MoTh
345,2,10,5.56%,637,BASE STR SUPERCENTER,72,5,TuFr
346,2,9,8.43%,73,BASE STR SUPERCENTER,24,4,Th
347,2,7,2.80%,93,BASE STR SUPERCENTER,32,2,Tu
350,2,9,1.95%,572,BASE STR SUPERCENTER,24,4,WeFr
354,2,9,1.16%,311,BASE STR SUPERCENTER,24,4,MoFr
355,2,9,2.92%,574,BASE STR SUPERCENTER,77,2,MoTh
356,2,9,3.10%,736,BASE STR SUPERCENTER,61,2,TuFr
357,2,9,2.86%,489,BASE STR SUPERCENTER,24,4,TuFr
359,2,9,1.04%,360,BASE STR SUPERCENTER,44,5,TuFr
360,2,9,2.39%,310,BASE STR SUPERCENTER,24,5,TuFr
361,2,9,3.06%,663,BASE STR SUPERCENTER,76,3,TuTh
362,1,5,4.83%,234,BASE STR SUPERCENTER,52,2,Tu
363,3,13,4.38%,486,BASE STR SUPERCENTER,60,4,MoWeTh
364,2,9,2.26%,613,BASE STR SUPERCENTER,60,5,TuFr
365,2,9,4.00%,331,BASE STR SUPERCENTER,57,2,Fr
366,2,9,1.87%,142,BASE STR SUPERCENTER,24,2,TuFr
368,2,9,1.68%,191,BASE STR SUPERCENTER,32,4,TuFr
369,2,9,9.21%,132,BASE STR SUPERCENTER,24,4,WeTh
370,2,8,9.20%,89,BASE STR SUPERCENTER,24,4,TuTh
371,2,9,2.34%,520,BASE STR SUPERCENTER,80,5,TuFr
372,2,9,4.73%,220,BASE STR SUPERCENTER,40,4,MoTh
373,2,8,22.31%,168,BASE STR SUPERCENTER,60,5,TuFr
374,2,9,4.31%,313,BASE STR SUPERCENTER,24,5,MoTh
375,2,9,19.18%,162,BASE STR SUPERCENTER,84,2,Fr
376,2,9,5.88%,468,BASE STR SUPERCENTER,72,5,TuTh
379,2,9,2.58%,423,BASE STR SUPERCENTER,60,4,MoWe
381,2,9,1.91%,489,BASE STR SUPERCENTER,48,5,TuFr
382,2,7,6.34%,104,BASE STR SUPERCENTER,32,4,Th
383,2,9,2.60%,491,BASE STR SUPERCENTER,60,5,TuFr
384,2,10,4.20%,349,BASE STR SUPERCENTER,36,5,MoTh
386,2,9,4.33%,454,BASE STR SUPERCENTER,68,5,TuFr
387,2,9,3.55%,318,BASE STR SUPERCENTER,24,5,TuFr
388,3,12,4.26%,382,BASE STR SUPERCENTER,32,5,WeFr
389,2,9,2.52%,541,BASE STR SUPERCENTER,40,5,TuFr
390,2,9,4.66%,230,BASE STR SUPERCENTER,24,2,MoTh
391,2,9,5.25%,310,BASE STR SUPERCENTER,56,2,MoTh
392,2,9,6.42%,248,BASE STR SUPERCENTER,28,5,TuFr
393,2,9,1.67%,379,BASE STR SUPERCENTER,69,2,TuFr
394,2,9,18.26%,347,BASE STR SUPERCENTER,24,2,MoTh
395,2,9,1.99%,494,BASE STR SUPERCENTER,60,5,TuFr
396,2,9,5.39%,414,BASE STR SUPERCENTER,56,2,MoTh
397,2,8,2.06%,458,BASE STR SUPERCENTER,92,5,TuFr
398,2,9,6.02%,382,BASE STR SUPERCENTER,32,5,MoTh
399,2,8,4.66%,260,BASE STR SUPERCENTER,24,5,Tu
400,2,10,13.12%,560,BASE STR SUPERCENTER,108,5,TuFr
401,2,8,3.99%,252,BASE STR SUPERCENTER,24,5,Mo
402,2,9,4.65%,455,BASE STR SUPERCENTER,48,5,Th
403,2,9,4.21%,445,BASE STR SUPERCENTER,40,2,TuTh
404,2,8,1.84%,628,BASE STR SUPERCENTER,40,5,MoTh
405,2,10,2.60%,451,BASE STR SUPERCENTER,56,5,MoFr
406,2,9,1.89%,387,BASE STR SUPERCENTER,56,2,TuFr
407,2,9,2.55%,542,BASE STR SUPERCENTER,96,5,TuFr
408,2,10,3.93%,589,BASE STR SUPERCENTER,61,5,MoTh
409,2,9,5.12%,329,BASE STR SUPERCENTER,36,2,Fr
410,4,17,3.61%,395,BASE STR SUPERCENTER,72,3,MoTuThFr
412,2,9,5.29%,640,BASE STR SUPERCENTER,48,5,TuFr
413,3,11,2.64%,889,BASE STR SUPERCENTER,48,5,MoTh
414,3,14,2.15%,453,BASE STR SUPERCENTER,48,5,MoTh
415,2,9,2.68%,386,BASE STR SUPERCENTER,48,5,Fr
420,3,14,1.71%,585,BASE STR SUPERCENTER,61,5,MoTuFr
421,2,9,1.98%,611,BASE STR SUPERCENTER,56,5,TuFr
423,2,9,3.88%,303,BASE STR SUPERCENTER,40,2,TuFr
424,2,11,3.14%,591,BASE STR SUPERCENTER,48,2,MoFr
425,2,8,6.05%,347,BASE STR SUPERCENTER,24,2,WeFr
426,2,9,3.29%,421,BASE STR SUPERCENTER,61,5,TuFr
427,2,9,2.04%,650,BASE STR SUPERCENTER,72,5,MoTh
428,2,9,7.02%,312,BASE STR SUPERCENTER,48,5,TuFr
429,2,9,1.61%,590,BASE STR SUPERCENTER,72,5,MoTh
431,4,18,2.57%,378,BASE STR SUPERCENTER,32,3,MoTuThFr
432,3,12,3.85%,446,BASE STR SUPERCENTER,60,2,MoTh
433,2,9,6.62%,384,BASE STR SUPERCENTER,56,2,TuFr
434,2,8,3.86%,463,BASE STR SUPERCENTER,40,2,Th
435,2,9,1.72%,741,BASE STR SUPERCENTER,48,3,TuFr
436,2,9,2.00%,638,BASE STR SUPERCENTER,72,3,TuFr
437,2,9,3.51%,632,BASE STR SUPERCENTER,60,5,TuFr
438,1,4,18.55%,172,BASE STR SUPERCENTER,44,5,Th
440,2,9,5.86%,487,BASE STR SUPERCENTER,48,5,MoTh
442,2,9,6.99%,465,BASE STR SUPERCENTER,68,5,TuFr
443,2,9,3.34%,333,BASE STR SUPERCENTER,60,5,TuFr
444,2,10,1.95%,393,BASE STR SUPERCENTER,57,4,MoTh
447,2,11,2.23%,744,BASE STR SUPERCENTER,77,5,TuTh
448,2,9,4.41%,386,BASE STR SUPERCENTER,60,5,TuFr
449,2,9,5.21%,482,BASE STR SUPERCENTER,69,5,TuFr
450,2,9,4.63%,419,BASE STR SUPERCENTER,41,5,TuFr
451,2,9,3.33%,398,BASE STR SUPERCENTER,32,4,TuFr
452,2,9,1.40%,543,BASE STR SUPERCENTER,40,5,TuFr
456,2,9,2.20%,695,BASE STR SUPERCENTER,65,5,TuFr
458,2,9,3.88%,573,BASE STR SUPERCENTER,60,5,MoTh
459,2,9,4.57%,418,BASE STR SUPERCENTER,40,2,Tu
461,2,11,4.10%,1093,BASE STR SUPERCENTER,61,5,TuFr
462,2,9,2.91%,844,BASE STR SUPERCENTER,61,5,MoTh
463,2,10,3.91%,480,BASE STR SUPERCENTER,72,5,TuFr
464,2,10,2.35%,606,BASE STR SUPERCENTER,40,5,TuTh
465,1,5,2.45%,390,BASE STR SUPERCENTER,36,5,Fr
466,2,9,2.10%,277,BASE STR SUPERCENTER,24,2,TuFr
467,2,9,1.84%,538,BASE STR SUPERCENTER,72,5,MoTh
468,6,26,0.82%,1162,BASE STR SUPERCENTER,73,5,MoFr
469,2,10,3.24%,376,BASE STR SUPERCENTER,40,5,TuFr
470,2,9,3.53%,457,BASE STR SUPERCENTER,44,5,MoTh
471,2,8,2.35%,388,BASE STR SUPERCENTER,57,5,MoTh
472,2,9,3.50%,300,BASE STR SUPERCENTER,41,5,TuFr
475,2,9,2.56%,316,BASE STR SUPERCENTER,68,5,TuFr
476,2,9,3.08%,334,BASE STR SUPERCENTER,52,5,TuFr
477,2,9,5.61%,241,BASE STR SUPERCENTER,24,2,MoTh
479,2,9,7.73%,322,BASE STR SUPERCENTER,32,5,TuFr
481,2,9,2.20%,533,BASE STR SUPERCENTER,56,3,TuFr
483,2,10,1.22%,519,BASE STR SUPERCENTER,72,2,MoFr
484,1,5,3.94%,82,BASE STR SUPERCENTER,24,4,Th
485,2,9,4.27%,262,BASE STR SUPERCENTER,24,5,TuFr
486,2,9,4.27%,88,BASE STR SUPERCENTER,24,4,TuTh
488,3,13,8.52%,307,BASE STR SUPERCENTER,24,2,Sa
489,2,10,4.95%,400,BASE STR SUPERCENTER,72,5,TuFr
490,2,9,2.43%,420,BASE STR SUPERCENTER,64,5,TuFr
491,4,18,2.89%,458,BASE STR SUPERCENTER,72,3,MoTuFr
492,2,8,3.14%,439,BASE STR SUPERCENTER,60,3,Fr
493,2,9,4.50%,296,BASE STR SUPERCENTER,32,3,Fr
494,2,9,5.30%,476,BASE STR SUPERCENTER,68,2,MoTh
495,2,9,2.65%,331,BASE STR SUPERCENTER,61,2,MoFr
498,2,9,4.98%,157,BASE STR SUPERCENTER,24,5,TuFr
499,2,9,2.74%,557,BASE STR SUPERCENTER,72,5,TuFr
500,3,13,1.97%,817,BASE STR SUPERCENTER,65,5,Sa
501,2,9,2.71%,189,BASE STR SUPERCENTER,61,2,MoTh
502,2,9,4.42%,459,BASE STR SUPERCENTER,48,5,WeFr
504,3,14,2.77%,1073,BASE STR SUPERCENTER,68,5,MoWeFr
505,2,10,3.57%,388,BASE STR SUPERCENTER,40,5,TuFr
506,3,11,1.15%,274,BASE STR SUPERCENTER,37,3,TuFr
507,2,9,1.40%,246,BASE STR SUPERCENTER,86,3,MoTh
508,2,9,2.49%,474,BASE STR SUPERCENTER,72,5,TuFr
510,2,9,3.37%,266,BASE STR SUPERCENTER,52,2,TuFr
511,2,9,2.57%,705,BASE STR SUPERCENTER,73,2,TuTh
512,3,13,1.94%,809,BASE STR SUPERCENTER,76,5,TuFrSa
513,2,10,4.44%,734,BASE STR SUPERCENTER,41,5,MoTh
514,2,10,1.54%,624,BASE STR SUPERCENTER,72,2,TuFr
515,4,15,2.44%,627,BASE STR SUPERCENTER,45,2,Th
516,2,9,0.74%,732,BASE STR SUPERCENTER,48,5,TuFr
517,2,9,4.38%,507,BASE STR SUPERCENTER,36,5,TuFr
518,2,8,7.00%,368,BASE STR SUPERCENTER,72,2,Tu
520,2,9,4.54%,324,BASE STR SUPERCENTER,41,2,Tu
521,2,9,2.15%,405,BASE STR SUPERCENTER,93,5,MoTh
522,2,9,3.57%,601,BASE STR SUPERCENTER,36,5,TuFr
523,2,9,3.27%,370,BASE STR SUPERCENTER,16,5,TuFr
524,2,9,3.80%,414,BASE STR SUPERCENTER,56,5,MoTh
526,2,9,4.94%,238,BASE STR SUPERCENTER,40,3,TuFr
527,3,13,5.90%,497,BASE STR SUPERCENTER,48,5,TuSa
528,3,14,1.51%,601,BASE STR SUPERCENTER,40,2,Sa
529,2,10,1.70%,712,BASE STR SUPERCENTER,60,5,TuFr
530,3,14,2.11%,579,BASE STR SUPERCENTER,52,5,MoFrSa
531,2,9,4.04%,434,BASE STR SUPERCENTER,65,5,Fr
532,2,11,3.77%,702,BASE STR SUPERCENTER,81,5,MoTh
533,2,9,5.87%,428,BASE STR SUPERCENTER,73,5,TuTh
534,2,9,8.62%,313,BASE STR SUPERCENTER,65,5,Fr
535,2,9,3.01%,593,BASE STR SUPERCENTER,72,5,TuFr
536,2,9,2.08%,486,BASE STR SUPERCENTER,56,5,MoTh
537,2,9,2.69%,568,BASE STR SUPERCENTER,56,5,MoTh
538,2,9,4.42%,467,BASE STR SUPERCENTER,64,2,WeFr
539,2,9,1.30%,347,BASE STR SUPERCENTER,41,5,TuFr
540,2,10,3.24%,577,BASE STR SUPERCENTER,40,5,WeFr
541,2,10,4.30%,535,BASE STR SUPERCENTER,72,5,MoTh
542,2,10,3.07%,492,BASE STR SUPERCENTER,84,5,TuTh
543,2,9,4.99%,588,BASE STR SUPERCENTER,105,5,Fr
544,2,9,2.71%,406,BASE STR SUPERCENTER,40,5,TuFr
546,2,10,5.04%,822,BASE STR SUPERCENTER,72,5,TuFr
547,3,14,4.83%,687,BASE STR SUPERCENTER,155,2,Th
548,2,8,4.53%,241,BASE STR SUPERCENTER,65,2,Th
549,2,9,4.32%,874,BASE STR SUPERCENTER,61,5,MoTh
551,3,14,3.95%,582,BASE STR SUPERCENTER,61,2,Sa
553,2,9,2.32%,472,BASE STR SUPERCENTER,68,5,TuFr
555,2,9,11.90%,197,BASE STR SUPERCENTER,40,2,MoFr
556,2,9,2.25%,342,BASE STR SUPERCENTER,40,2,TuFr
557,3,13,2.48%,171,BASE STR SUPERCENTER,24,4,TuFr
558,3,13,5.71%,206,BASE STR SUPERCENTER,24,4,Mo
559,2,9,2.52%,658,BASE STR SUPERCENTER,56,4,TuFr
560,3,13,4.89%,643,BASE STR SUPERCENTER,68,4,Fr
561,1,5,4.20%,246,BASE STR SUPERCENTER,52,5,Th
562,2,9,4.12%,319,BASE STR SUPERCENTER,24,2,Mo
563,3,13,2.98%,618,BASE STR SUPERCENTER,41,2,MoSa
564,2,9,2.18%,447,BASE STR SUPERCENTER,41,5,TuFr
565,2,9,2.50%,563,BASE STR SUPERCENTER,69,5,Fr
566,3,14,1.59%,604,BASE STR SUPERCENTER,36,3,MoFr
568,2,9,5.23%,227,BASE STR SUPERCENTER,24,2,MoTh
571,2,9,3.69%,564,BASE STR SUPERCENTER,57,3,TuFr
572,2,9,7.61%,553,BASE STR SUPERCENTER,69,5,TuFr
573,2,9,4.08%,559,BASE STR SUPERCENTER,61,4,TuFr
574,3,12,2.60%,804,BASE STR SUPERCENTER,72,2,Fr
575,2,8,6.25%,229,BASE STR SUPERCENTER,72,2,MoTh
576,2,9,2.87%,412,BASE STR SUPERCENTER,40,5,TuFr
577,3,12,3.11%,124,BASE STR SUPERCENTER,29,4,MoWe
578,3,12,3.27%,800,BASE STR SUPERCENTER,72,2,MoTh
579,3,13,3.36%,763,BASE STR SUPERCENTER,40,2,TuThSa
580,3,12,6.61%,514,BASE STR SUPERCENTER,48,2,Fr
581,2,9,2.46%,458,BASE STR SUPERCENTER,41,4,TuFr
582,4,18,6.99%,1009,BASE STR SUPERCENTER,60,2,MoTuThSa
583,2,9,2.99%,199,BASE STR SUPERCENTER,48,2,Mo
585,2,10,2.89%,475,BASE STR SUPERCENTER,77,2,MoTh
586,2,9,3.05%,519,BASE STR SUPERCENTER,72,2,MoTh
587,2,9,2.36%,264,BASE STR SUPERCENTER,60,2,TuFr
588,2,9,3.58%,331,BASE STR SUPERCENTER,61,2,TuFr
589,2,9,3.39%,375,BASE STR SUPERCENTER,61,3,MoTh
590,2,9,5.11%,287,BASE STR SUPERCENTER,60,5,MoTh
591,2,9,1.88%,475,BASE STR SUPERCENTER,86,3,Fr
592,2,8,3.70%,122,BASE STR SUPERCENTER,32,4,Tu
593,2,8,2.33%,408,BASE STR SUPERCENTER,40,2,TuFr
594,2,8,4.79%,229,BASE STR SUPERCENTER,40,2,MoTh
595,2,10,1.12%,637,BASE STR SUPERCENTER,72,5,TuFr
597,2,10,5.02%,336,BASE STR SUPERCENTER,41,5,Fr
598,2,9,1.07%,733,BASE STR SUPERCENTER,56,4,TuFr
599,2,9,6.67%,184,BASE STR SUPERCENTER,40,2,Mo
600,3,12,1.68%,445,BASE STR SUPERCENTER,60,5,WeFr
601,2,9,3.61%,682,BASE STR SUPERCENTER,72,5,TuFr
602,2,9,4.02%,364,BASE STR SUPERCENTER,68,5,TuFr
603,3,13,4.66%,492,BASE STR SUPERCENTER,103,3,Sa
604,2,9,2.05%,522,BASE STR SUPERCENTER,77,2,TuFr
605,2,9,2.47%,251,BASE STR SUPERCENTER,56,2,TuFr
608,2,9,1.90%,757,BASE STR SUPERCENTER,72,5,TuFr
609,2,9,4.52%,339,BASE STR SUPERCENTER,61,4,TuFr
610,2,9,1.24%,448,BASE STR SUPERCENTER,56,5,TuFr
611,2,9,6.04%,461,BASE STR SUPERCENTER,61,5,MoTh
612,2,9,1.49%,469,BASE STR SUPERCENTER,48,3,TuFr
613,4,18,3.55%,744,BASE STR SUPERCENTER,80,2,Sa
614,2,9,6.24%,413,BASE STR SUPERCENTER,56,2,MoTh
615,2,9,3.49%,507,BASE STR SUPERCENTER,72,2,TuTh
616,2,9,4.18%,900,BASE STR SUPERCENTER,72,2,TuFr
618,2,9,2.55%,249,BASE STR SUPERCENTER,40,2,TuFr
619,2,9,3.32%,294,BASE STR SUPERCENTER,60,2,Tu
620,2,9,1.88%,238,BASE STR SUPERCENTER,73,2,TuFr
621,2,9,7.49%,585,BASE STR SUPERCENTER,44,2,TuTh
622,2,9,3.96%,348,BASE STR SUPERCENTER,41,5,MoTh
623,3,14,2.86%,1015,BASE STR SUPERCENTER,40,2,Sa
624,2,9,1.26%,650,BASE STR SUPERCENTER,48,2,Fr
625,2,9,3.76%,591,BASE STR SUPERCENTER,56,2,MoTh
627,2,9,4.49%,337,BASE STR SUPERCENTER,24,2,TuTh
629,4,18,2.34%,511,BASE STR SUPERCENTER,48,2,MoWeFr
631,2,9,3.25%,456,BASE STR SUPERCENTER,56,2,MoTh
633,2,9,2.67%,269,BASE STR SUPERCENTER,24,3,TuFr
634,2,9,3.91%,637,BASE STR SUPERCENTER,47,2,Fr
635,2,9,2.82%,362,BASE STR SUPERCENTER,41,2,TuFr
636,3,13,4.41%,353,BASE STR SUPERCENTER,60,3,Fr
637,2,9,3.23%,421,BASE STR SUPERCENTER,60,4,WeFr
638,3,13,2.45%,451,BASE STR SUPERCENTER,41,2,Tu
639,3,14,5.86%,521,BASE STR SUPERCENTER,40,2,MoWeFr
640,2,9,4.37%,327,BASE STR SUPERCENTER,67,2,MoTh
641,2,9,2.32%,312,BASE STR SUPERCENTER,41,2,MoTh
642,3,13,4.24%,453,BASE STR SUPERCENTER,24,2,Fr
643,3,12,3.19%,1009,BASE STR SUPERCENTER,84,2,Fr
644,2,9,3.70%,441,BASE STR SUPERCENTER,29,2,TuFr
645,2,11,4.75%,980,BASE STR SUPERCENTER,72,4,WeFr
646,2,9,3.43%,447,BASE STR SUPERCENTER,24,4,TuFr
647,2,9,3.52%,358,BASE STR SUPERCENTER,24,4,TuFr
648,4,17,1.07%,696,BASE STR SUPERCENTER,72,4,Tu
649,3,13,1.83%,918,BASE STR SUPERCENTER,72,2,Sa
651,2,9,4.30%,452,BASE STR SUPERCENTER,72,5,TuFr
652,2,9,4.26%,201,BASE STR SUPERCENTER,40,4,MoTh
653,2,9,3.50%,377,BASE STR SUPERCENTER,64,3,MoTh
655,2,9,3.60%,289,BASE STR SUPERCENTER,72,3,TuFr
656,2,9,3.29%,241,BASE STR SUPERCENTER,65,2,MoTh
657,2,9,1.35%,334,BASE STR SUPERCENTER,72,2,TuFr
658,2,8,2.63%,303,BASE STR SUPERCENTER,68,2,MoTh
659,2,9,2.98%,263,BASE STR SUPERCENTER,75,2,MoTh
660,2,10,5.31%,468,BASE STR SUPERCENTER,72,2,MoFr
661,2,10,3.13%,601,BASE STR SUPERCENTER,88,2,TuFr
662,3,13,4.43%,460,BASE STR SUPERCENTER,41,2,TuFr
663,2,9,2.52%,230,BASE STR SUPERCENTER,40,2,TuFr
664,2,10,2.74%,222,BASE STR SUPERCENTER,37,4,TuFr
666,3,14,3.72%,1012,BASE STR SUPERCENTER,61,2,TuThSa
667,2,9,2.42%,195,BASE STR SUPERCENTER,24,2,MoTh
668,2,9,3.13%,265,BASE STR SUPERCENTER,56,2,TuFr
669,2,8,3.50%,314,BASE STR SUPERCENTER,72,2,TuTh
670,3,13,1.95%,791,BASE STR SUPERCENTER,73,2,MoWeFr
671,2,9,4.99%,370,BASE STR SUPERCENTER,40,2,MoTh
672,2,9,2.93%,423,BASE STR SUPERCENTER,72,2,MoTh
673,2,9,3.22%,496,BASE STR SUPERCENTER,72,2,TuFr
674,2,9,3.92%,334,BASE STR SUPERCENTER,40,2,TuFr
675,4,18,1.63%,211,BASE STR SUPERCENTER,52,2,MoTuThFr
676,2,9,2.49%,238,BASE STR SUPERCENTER,77,2,Mo
677,2,10,3.53%,290,BASE STR SUPERCENTER,40,2,TuFr
678,2,7,5.50%,130,BASE STR SUPERCENTER,56,2,MoTh
680,2,9,3.34%,286,BASE STR SUPERCENTER,40,2,Mo
681,3,13,3.93%,605,BASE STR SUPERCENTER,48,2,Fr
682,2,9,3.90%,351,BASE STR SUPERCENTER,60,2,MoTh
683,2,9,1.79%,255,BASE STR SUPERCENTER,68,2,TuFr
684,2,9,2.41%,231,BASE STR SUPERCENTER,69,2,TuFr
685,2,9,4.24%,254,BASE STR SUPERCENTER,41,2,MoTh
686,2,9,3.13%,269,BASE STR SUPERCENTER,36,2,TuTh
687,2,9,1.63%,373,BASE STR SUPERCENTER,40,2,MoTh
688,2,9,5.59%,202,BASE STR SUPERCENTER,40,2,TuFr
689,3,13,2.41%,756,BASE STR SUPERCENTER,48,3,Fr
690,2,9,2.54%,268,BASE STR SUPERCENTER,40,2,MoTh
691,2,11,1.81%,526,BASE STR SUPERCENTER,56,2,WeFr
692,2,9,2.76%,465,BASE STR SUPERCENTER,56,3,Fr
694,2,9,2.53%,366,BASE STR SUPERCENTER,40,3,MoFr
695,2,7,16.20%,99,BASE STR SUPERCENTER,64,2,Fr
697,3,13,4.58%,513,BASE STR SUPERCENTER,145,2,Sa
698,2,10,1.63%,244,BASE STR SUPERCENTER,72,2,MoTh
699,2,9,5.41%,496,BASE STR SUPERCENTER,76,2,WeFr
700,5,21,1.65%,769,BASE STR SUPERCENTER,32,2,MoFr
701,3,13,4.17%,419,BASE STR SUPERCENTER,52,3,TuFr
702,2,9,2.31%,364,BASE STR SUPERCENTER,52,3,MoTh
703,2,9,3.81%,500,BASE STR SUPERCENTER,41,5,MoTh
705,3,14,1.06%,820,BASE STR SUPERCENTER,68,2,Sa
706,3,13,3.99%,905,BASE STR SUPERCENTER,41,2,Mo
707,2,9,8.85%,257,BASE STR SUPERCENTER,24,2,TuFr
708,2,9,5.90%,355,BASE STR SUPERCENTER,40,2,MoFr
709,2,9,5.76%,387,BASE STR SUPERCENTER,40,3,TuFr
710,2,9,2.88%,286,BASE STR SUPERCENTER,60,2,TuFr
712,3,14,1.52%,471,BASE STR SUPERCENTER,49,2,MoWeFr
714,2,9,2.76%,239,BASE STR SUPERCENTER,32,5,TuFr
715,3,13,3.67%,711,BASE STR SUPERCENTER,40,2,TuThFr
716,2,9,3.44%,189,BASE STR SUPERCENTER,40,2,TuFr
718,5,21,12.02%,642,BASE STR SUPERCENTER,168,2,TuSa
719,2,9,3.20%,417,BASE STR SUPERCENTER,40,3,TuFr
720,2,9,4.66%,312,BASE STR SUPERCENTER,48,3,MoTh
721,4,17,2.43%,951,BASE STR SUPERCENTER,68,2,Sa
722,2,10,4.81%,393,BASE STR SUPERCENTER,40,2,MoFr
723,2,10,1.32%,418,BASE STR SUPERCENTER,29,2,MoFr
724,2,9,4.10%,257,BASE STR SUPERCENTER,32,2,Fr
