Store.Number,Whlsr..,Whlsr.Name,A.B.Region,FY.15.OOS.Rate,Total.Footage,Average.Deliveries.Per.Week,Average.Cases.Delivered.Per.Week,Delivery.Schedule,Average.Deliveries.Per.Month,cluster
808,94231,DEL PAPA DISTRIBUTING,5,0.049,104,2,914,TuFr,9,1
809,10102,BAMA BUDWEISER OF ANNISTON,2,0.058,72,2,511,TuFr,10,1
814,40920,BERNIE LITTLE DIST INC-SEBRIN,2,0.057,47,3,957,Sa,13,1
819,70911,SUNCOAST BEVERAGE SALES,2,0.042,40,3,912,Fr,13,1
859,40919,BERNIE LITTLE DISTRIBUTORS,2,0.068,49,4,904,Sa,18,1
860,10906,DAYTONA BEVERAGES,2,0.053,56,3,694,Sa,14,1
866,20161,BUDWEISER-BUSCH DIST,2,0.077,60,3,637,Fr,12,1
877,33213,"ADAMS BEVERAGES OF NC, LLC ",2,0.057,81,2,542,Tu,9,1
881,33916,K W ASSOCIATES,2,0.033,56,2,682,TuFr,9,1
890,10922,CITY BEVERAGES,2,0.034,61,2,522,TuFr,9,1
902,81394,DEVER DISTRIBUTING,3,0.038,52,2,556,MoFr,10,1
906,3035,PREMIER DISTRIBUTING,5,0.065,49,2,1262,MoFr,9,1
911,61738,SOUTHERN EAGLE SALES & SERVICE,5,0.038,60,2,527,TuFr,10,1
915,94224,SILVER EAGLE DISTRIBUTING,5,0.037,58,2,494,TuFr,9,1
918,84245,R & K DISTRIBUTORS,5,0.042,68,2,694,TuFr,10,1
929,40979,SOUTHERN EAGLE,2,0.046,61,3,596,TuThSa,13,1
931,40979,SOUTHERN EAGLE,2,0.05,60,3,700,TuSa,13,1
932,91029,ATLANTA BEVERAGE CO - GRIFFIN,2,0.039,77,2,408,MoTh,9,1
935,71702,CHAMPAGNE BEVERAGE,5,0.04,93,2,426,MoTh,9,1
964,44223,L & F DISTRIBUTORS,5,0.043,61,3,1011,Sa,13,1
970,22303,REX DISTRIBUTING,2,0.033,56,2,654,MoFr,10,1
972,64225,BEN E KEITH,5,0.032,61,2,509,TuFr,9,1
988,40908,PEPIN DISTRIBUTING,2,0.033,39,3,642,Mo,13,1
989,61738,SOUTHERN EAGLE SALES & SERVICE,5,0.055,64,3,409,Fr,13,1
990,20950,THE LEWIS BEAR COMPANY,2,0.032,187,3,585,MoFr,13,1
991,20161,BUDWEISER-BUSCH DIST,2,0.044,61,2,408,Fr,9,1
999,44276,SILVER EAGLE DIST LP,5,0.033,92,2,617,TuFr,10,1
1009,32486,WIL FISCHER DISTRIBUTING,4,0.035,60,2,454,Th,10,1
1035,53978,BUDWEISER OF SPARTANBURG,2,0.061,52,3,737,TuFr,13,1
1037,23912,SOUTHERN EAGLE OF SC,2,0.044,65,2,797,MoTh,9,1
1041,94233,L & F DISTRIBUTORS,5,0.031,40,2,660,TuFr,9,1
1079,10906,DAYTONA BEVERAGES,2,0.032,36,3,718,TuFrSa,13,1
1083,70918,NORTH FLORIDA SALES,2,0.04,48,3,535,Sa,13,1
1103,94262,SILVER EAGLE DIST LP - CYPRESS,5,0.05,60,3,434,Fr,11,1
1104,40915,GREAT BAY DISTRIBUTORS,2,0.035,80,3,696,Sa,13,1
1111,71008,LEON FARMER & COMPANY,2,0.054,60,2,435,Mo,9,1
1135,43925,CROWN BEVERAGES,2,0.037,48,2,806,TuTh,10,1
1140,91646,KENTUCKY EAGLE BEER,3,0.037,56,2,626,MoTh,9,1
1149,20282,III COUNTIES DISTRIBUTING,7,0.081,76,3,821,MoFr,14,1
1156,33245,R H BARRINGER,2,0.034,41,2,711,MoTh,9,1
1158,10121,BIRMINGHAM BUD DISTRIBUTING,2,0.062,77,2,415,MoTh,9,1
1171,40940,GOLD COAST EAGLE,2,0.032,48,3,570,TuThSa,14,1
1173,70918,NORTH FLORIDA SALES,2,0.042,56,3,425,Sa,13,1
1182,10906,DAYTONA BEVERAGES,2,0.031,48,4,833,Sa,17,1
1185,34206,BROWN DISTRIBUTING,5,0.047,61,2,481,TuFr,9,1
1186,44207,DEL PAPA DISTRIBUTING,5,0.046,76,2,630,TuFr,9,1
1201,10121,BIRMINGHAM BUD DISTRIBUTING,2,0.032,77,3,506,Fr,13,1
1203,40908,PEPIN DISTRIBUTING,2,0.042,68,3,655,Mo,13,1
1212,20161,BUDWEISER-BUSCH DIST,2,0.043,72,2,467,MoTh,9,1
1223,30958,TRI-EAGLE SALES,2,0.034,61,3,485,Sa,13,1
1238,63269,R A JEFFREYS DISTR CO RALEIGH,2,0.041,56,2,445,TuFr,9,1
1240,20288,SOUTHERN ARIZONA DISTRIBUTING,7,0.073,56,2,730,TuFr,10,1
1241,71430,VANGUARD DISTRIBUTING,4,0.061,88,2,413,TuFr,9,1
1245,40919,BERNIE LITTLE DISTRIBUTORS,2,0.048,156,3,779,TuThSa,15,1
1247,91630,PERRY DISTRIBUTORS,3,0.051,64,4,490,Tu,17,1
1261,63269,R A JEFFREYS DISTR CO RALEIGH,2,0.037,56,2,416,TuTh,9,1
1279,94262,SILVER EAGLE DIST LP - CYPRESS,5,0.039,61,3,725,Fr,11,1
1281,53978,BUDWEISER OF SPARTANBURG,2,0.044,56,3,770,MoTh,11,1
1283,70923,NORTH FLORIDA SALES,2,0.035,60,2,553,WeFr,9,1
1284,177,ADAMS BEVERAGES,2,0.055,72,2,469,TuFr,9,1
1285,11468,GOLDEN EAGLE DIST,4,0.034,61,2,437,MoTh,9,1
1286,33916,K W ASSOCIATES,2,0.036,72,2,613,MoTh,9,1
1296,94239,L & F DISTRIBUTORS,5,0.045,72,2,510,TuFr,9,1
1297,30958,TRI-EAGLE SALES,2,0.032,93,5,642,Sa,21,1
1300,43231,R A JEFFREYS DISTRIBUTING,2,0.033,72,2,493,TuFr,10,1
1306,13072,L&F DISTRIBUTORS LTD,5,0.047,61,2,788,TuFr,9,1
1313,44276,SILVER EAGLE DISTRIBUTORS,5,0.032,84,2,711,TuFr,9,1
1324,20285,GOLDEN EAGLE DISTRIBUTORS,7,0.036,61,2,739,TuFr,9,1
1326,62630,H & H DISTRIBUTING,4,0.039,76,2,903,WeFr,9,1
1327,11356,NORTH VERNON BEVERAGE,3,0.036,72,2,695,Fr,9,1
1332,22659,NORFOLK BEVERAGE,4,0.033,64,2,517,TuFr,10,1
1352,73291,R.A. JEFFREYS OF WILMINGTON,2,0.039,68,2,416,TuFr,9,1
1382,53929,BUD OF GREENVILLE,2,0.061,72,2,812,Fr,9,1
1383,23912,SOUTHERN EAGLE OF SC,2,0.082,69,2,732,TuFr,9,1
1385,33210,STANDARD DISTRIBUTORS,2,0.042,72,2,402,MoTh,9,1
1391,10906,DAYTONA BEVERAGES,2,0.053,73,3,738,MoThSa,14,1
1392,73291,R.A. JEFFREYS OF WILMINGTON,2,0.046,81,2,561,TuFr,9,1
1399,94551,VIRGINIA EAGLE,1,0.031,52,2,419,WeFr,9,1
1405,54294,DEL PAPA DISTRIBUTING,5,0.032,56,2,538,TuFr,9,1
1406,64524,VIRGINIA EAGLE,1,0.031,56,2,410,TuFr,9,1
1411,20285,GOLDEN EAGLE DISTRIBUTORS,7,0.036,56,2,737,TuFr,9,1
1414,3001,PREMIER DISTRIBUTING,5,0.034,52,2,560,Tu,9,1
1418,21228,ILLINOIS DISTRIBUTING,3,0.036,60,3,502,TuTh,12,1
1426,1602,EAGLE DISTRIBUTING,3,0.041,52,3,547,Fr,13,1
1453,24827,DEAN DISTRIBUTING,3,0.048,60,2,501,TuFr,9,1
1460,62630,H & H DISTRIBUTING,4,0.039,60,2,694,WeFr,10,1
1462,30192,HORN BEVERAGE COMPANY,2,0.037,60,2,519,TuFr,9,1
1464,33213,"ADAMS BEVERAGES OF NC, LLC ",2,0.037,57,2,475,MoTh,9,1
1472,62220,COLLEGE CITY BEVERAGE,4,0.042,137,1,403,Mo,5,1
1493,20162,BUDWEISER-BUSCH DIST,2,0.036,48,2,526,MoTh,9,1
1513,40915,GREAT BAY DISTRIBUTORS,2,0.039,60,3,466,Mo,13,1
1533,10261,HENSLEY & CO PHOENIX,7,0.034,76,2,711,WeSa,9,1
1541,40993,BROWN DISTRIBUTING,2,0.038,56,3,502,TuSa,13,1
1542,72118,HURON DISTRIBUTORS,3,0.033,96,2,750,TuFr,9,1
1554,40451,DELTA SIERRA DISTRIBUTING,7,0.041,68,2,764,TuFr,10,1
1555,30414,ALFORD DISTRIBUTING,7,0.043,73,2,978,TuFr,10,1
1565,73394,DELANEY DISTRIBUTORS,4,0.049,89,4,1344,We,17,1
1574,50410,ADVANCE BEVERAGE CO INC,7,0.065,68,2,799,TuFr,9,1
1588,406,R & S BEVERAGE COMPANY,7,0.046,56,2,464,TuFr,9,1
1611,12167,EARL SMITH DISTRIBUTING,3,0.071,76,2,766,TuFr,9,1
1612,20285,GOLDEN EAGLE DISTRIBUTORS,7,0.041,68,2,1143,TuFr,10,1
1613,53234,R H BARRINGER,2,0.031,60,2,447,MoTh,9,1
1624,50410,ADVANCE BEVERAGE CO INC,7,0.052,72,3,641,TuFr,11,1
1631,74563,M PRICE DISTRIBUTING,1,0.033,72,2,497,TuFr,9,1
1660,70400,ANHEUSER-BUSCH,7,0.052,72,4,700,TuFr,16,1
1664,43231,R A JEFFREYS DISTRIBUTING,2,0.036,72,2,652,TuTh,10,1
1709,41380,AALCO DIST,3,0.031,60,2,544,TuFr,9,1
1726,94577,VIRGINIA EAGLE DISTRIBUTING,1,0.032,120,2,597,TuTh,10,1
1749,2813,NEW HAMPSHIRE DISTRIBUTORS,1,0.04,84,2,533,TuTh,8,1
1752,62155,FABIANO BROTHERS,3,0.038,56,2,498,TuTh,9,1
1767,73291,R.A. JEFFREYS OF WILMINGTON,2,0.047,61,2,599,TuFr,11,1
1798,62155,FABIANO BROTHERS,3,0.041,73,2,447,TuTh,11,1
1805,434,HEIMARK DISTRIBUTING,7,0.043,56,2,607,TuFr,9,1
1806,13131,BARTYZEL,1,0.033,56,3,508,MoWeFr,14,1
1809,42138,DANIEL L JACOB & COMPANY,3,0.044,57,2,427,MoTh,9,1
1811,74562,HOFFMAN BEVERAGE,1,0.038,56,3,409,MoWeFr,13,1
1832,434,HEIMARK DISTRIBUTING,7,0.035,68,2,597,TuFr,9,1
1834,63658,WESTERN BEVERAGE,6,0.046,77,2,706,TuFr,9,1
1837,94240,SILVER EAGLE DISTRIBUTORS,5,0.041,60,2,533,TuFr,9,1
1842,53234,R H BARRINGER,2,0.038,57,2,426,Tu,9,1
1846,20288,SOUTHERN ARIZONA DISTRIBUTING,7,0.054,69,2,602,TuFr,9,1
1847,30958,TRI-EAGLE SALES,2,0.051,44,3,652,Sa,13,1
1859,30414,ALFORD DISTRIBUTING,7,0.037,48,2,1455,TuFr,9,1
